longitude;latitude;YEAR;DISTRITO;MODALIDAD;ID
-76.9978103;-12.06729437;2016;La Victoria;ROBO;21887037.0
-76.99779455;-12.06732255;2016;La Victoria;HURTO;24694974.0
-76.9976709;-12.06721024;2016;La Victoria;HURTO;24814902.0
-76.9976175;-12.0675322;2016;La Victoria;HURTO AGRAVADO;22125738.0
-76.99765765;-12.06709415;2016;La Victoria;HURTO AGRAVADO;25660254.0
-76.99730413;-12.06726611;2016;La Victoria;HURTO AGRAVADO;20772519.0
-76.99762194;-12.06716604;2016;La Victoria;HURTO AGRAVADO;20918451.0
-76.99795451;-12.06773082;2016;La Victoria;HURTO DE VEHICULO;23801481.0
-76.99803412;-12.06754661;2016;La Victoria;HURTO DE VEHICULO;20282019.0
-77.01794974;-12.14746336;2016;Barranco;ROBO AGRAVADO;21193887.0
-77.02294214;-12.15311316;2016;Barranco;ROBO AGRAVADO;21166332.0
-77.01382761;-12.13927059;2016;Barranco;ROBO AGRAVADO;24736491.0
-77.01467236;-12.14286621;2016;Barranco;ROBO AGRAVADO;24528051.0
-77.01956704;-12.14675697;2016;Barranco;ROBO AGRAVADO;20987922.0
-77.01740292;-12.14993995;2016;Barranco;ROBO AGRAVADO;20899542.0
-77.0200154;-12.1479559;2016;Barranco;ROBO AGRAVADO;22721490.0
-77.01391071;-12.14175069;2016;Barranco;ROBO AGRAVADO;24937479.0
-77.02317161;-12.14248425;2016;Barranco;ROBO AGRAVADO;22500792.0
-77.01485989;-12.13852173;2016;Barranco;ROBO AGRAVADO;20880195.0
-77.02056617;-12.13847016;2016;Barranco;ROBO AGRAVADO;20670558.0
-77.01777247;-12.14165061;2016;Barranco;ROBO AGRAVADO;22879674.0
-77.0184112;-12.1468932;2016;Barranco;ROBO AGRAVADO;20889798.0
-77.01959681;-12.14665978;2016;Barranco;ROBO AGRAVADO;24356772.0
-77.02213881;-12.14250014;2016;Barranco;ROBO AGRAVADO;22356519.0
-77.01790054;-12.13963993;2016;Barranco;ROBO AGRAVADO;25329507.0
-77.01280245;-12.14015072;2016;Barranco;ROBO AGRAVADO;22407732.0
-77.01741542;-12.14999061;2016;Barranco;ROBO AGRAVADO;20984895.0
-77.01667932;-12.14697711;2016;Barranco;ROBO AGRAVADO;20373024.0
-77.01781016;-12.14182813;2016;Barranco;ROBO AGRAVADO;21369846.0
-77.0138509;-12.1393471;2016;Barranco;ROBO AGRAVADO;22640523.0
-77.01914561;-12.15360336;2016;Barranco;ROBO AGRAVADO;20093358.0
-77.01793883;-12.14710836;2016;Barranco;ROBO AGRAVADO;25372824.0
-77.01755938;-12.1417359;2016;Barranco;ROBO AGRAVADO;19876836.0
-77.01387906;-12.13939126;2016;Barranco;ROBO AGRAVADO;21590475.0
-77.02300238;-12.15323981;2016;Barranco;ROBO AGRAVADO;20846103.0
-77.01396015;-12.13936029;2016;Barranco;ROBO AGRAVADO;21087087.0
-77.02108329;-12.15369451;2016;Barranco;ROBO AGRAVADO;20285859.0
-77.01960839;-12.14677348;2016;Barranco;ROBO AGRAVADO;20233029.0
-77.0167757;-12.1406999;2016;Barranco;ROBO AGRAVADO;22917471.0
-77.02320416;-12.15405024;2016;Barranco;ROBO AGRAVADO;25146966.0
-77.01797419;-12.14721798;2016;Barranco;ROBO AGRAVADO;20264106.0
-77.015991;-12.14429;2016;Barranco;ROBO AGRAVADO;25603518.0
-77.01785103;-12.14718141;2016;Barranco;ROBO AGRAVADO;20959059.0
-77.01958884;-12.15358735;2016;Barranco;ROBO AGRAVADO;20437872.0
-77.02064152;-12.14667875;2016;Barranco;ROBO AGRAVADO;21842913.0
-77.02127819;-12.1391613;2016;Barranco;ROBO AGRAVADO;20219292.0
-77.01749347;-12.14153894;2016;Barranco;ROBO AGRAVADO;21845862.0
-77.01749326;-12.1420503;2016;Barranco;ROBO AGRAVADO;23758302.0
-77.01949479;-12.14621692;2016;Barranco;ROBO AGRAVADO;22355679.0
-77.01955957;-12.14648496;2016;Barranco;ROBO AGRAVADO;21390885.0
-77.02199942;-12.15236719;2016;Barranco;ROBO AGRAVADO;23984787.0
-77.01616457;-12.14227128;2016;Barranco;ROBO AGRAVADO;20173410.0
-77.01456995;-12.14278349;2016;Barranco;ROBO AGRAVADO;20424342.0
-77.0223426;-12.14634908;2016;Barranco;ROBO AGRAVADO;25506102.0
-77.01783215;-12.1506575;2016;Barranco;ROBO AGRAVADO;21494229.0
-77.01784869;-12.14566327;2016;Barranco;ROBO AGRAVADO;23671104.0
-77.01563564;-12.1437452;2016;Barranco;ROBO AGRAVADO;20298696.0
-77.02312742;-12.14115122;2016;Barranco;ROBO AGRAVADO;25489209.0
-77.02126677;-12.13910021;2016;Barranco;ROBO AGRAVADO;21781287.0
-77.01634676;-12.14214211;2016;Barranco;ROBO AGRAVADO;20370684.0
-77.02211859;-12.14768808;2016;Barranco;ROBO AGRAVADO;25725057.0
-77.01787205;-12.14896717;2016;Barranco;ROBO AGRAVADO;22890201.0
-77.01377413;-12.14067492;2016;Barranco;ROBO AGRAVADO;25047159.0
-77.02493453;-12.14704594;2016;Barranco;ROBO AGRAVADO;20471337.0
-77.02407767;-12.1566364;2016;Barranco;ROBO AGRAVADO;21658446.0
-77.02297494;-12.14477542;2016;Barranco;ROBO AGRAVADO;21476670.0
-77.017793;-12.137348;2016;Barranco;ROBO AGRAVADO;23684037.0
-77.01776052;-12.13961509;2016;Barranco;ROBO AGRAVADO;22877670.0
-77.01789684;-12.1402451;2016;Barranco;ROBO AGRAVADO;20397852.0
-77.01778592;-12.13595634;2016;Barranco;ROBO AGRAVADO;22559397.0
-77.01989576;-12.15220147;2016;Barranco;ROBO AGRAVADO;21690423.0
-77.01667185;-12.1450625;2016;Barranco;ROBO AGRAVADO;20490099.0
-77.02302722;-12.14495125;2016;Barranco;ROBO AGRAVADO;23103504.0
-77.02309976;-12.15626463;2016;Barranco;ROBO AGRAVADO;25393335.0
-77.01764358;-12.14177906;2016;Barranco;ROBO AGRAVADO;24599829.0
-77.01818166;-12.14671339;2016;Barranco;ROBO AGRAVADO;24419697.0
-77.01661387;-12.14125602;2016;Barranco;ROBO AGRAVADO;20026818.0
-77.0147923;-12.14301816;2016;Barranco;ROBO AGRAVADO;20110053.0
-77.01809189;-12.13149829;2016;Barranco;ROBO AGRAVADO;23923080.0
-77.01833531;-12.14986253;2016;Barranco;ROBO AGRAVADO;21937260.0
-77.01462159;-12.1385351;2016;Barranco;ROBO AGRAVADO;23788578.0
-77.02213692;-12.14642292;2016;Barranco;ROBO AGRAVADO;19835496.0
-77.02065927;-12.13945993;2016;Barranco;ROBO AGRAVADO;24050979.0
-77.01773238;-12.1394913;2016;Barranco;ROBO AGRAVADO;21520386.0
-77.01959293;-12.14650067;2016;Barranco;ROBO AGRAVADO;25400460.0
-77.01661545;-12.14503498;2016;Barranco;ROBO AGRAVADO;24498654.0
-77.01939004;-12.14689592;2016;Barranco;ROBO AGRAVADO;20180994.0
-77.0188184;-12.1444263;2016;Barranco;ROBO AGRAVADO;20359173.0
-77.01953129;-12.14613964;2016;Barranco;ROBO AGRAVADO;20564133.0
-77.02213664;-12.14264055;2016;Barranco;ROBO AGRAVADO;23695308.0
-77.01955044;-12.14643753;2016;Barranco;ROBO AGRAVADO;22763985.0
-77.0213507;-12.1441817;2016;Barranco;ROBO AGRAVADO;20833527.0
-77.02208252;-12.14634035;2016;Barranco;ROBO AGRAVADO;23757864.0
-77.01573636;-12.14273959;2016;Barranco;ROBO AGRAVADO;25132983.0
-77.01953911;-12.15120322;2016;Barranco;ROBO AGRAVADO;23061093.0
-77.01726641;-12.15000438;2016;Barranco;ROBO AGRAVADO;20490567.0
-77.02174636;-12.14290919;2016;Barranco;ROBO AGRAVADO;21898503.0
-77.01557168;-12.14382342;2016;Barranco;ROBO AGRAVADO;24593493.0
-77.01539601;-12.14481626;2016;Barranco;ROBO AGRAVADO;24356163.0
-77.0190878;-12.1454619;2016;Barranco;ROBO AGRAVADO;23420289.0
-77.0160442;-12.13989667;2016;Barranco;ROBO AGRAVADO;22612578.0
-77.01849534;-12.14182741;2016;Barranco;ROBO AGRAVADO;21869223.0
-77.02317019;-12.15402593;2016;Barranco;ROBO AGRAVADO;25440402.0
-77.01875636;-12.14185928;2016;Barranco;ROBO AGRAVADO;22161156.0
-77.015932;-12.14167554;2016;Barranco;ROBO AGRAVADO;21150387.0
-77.02485524;-12.1423891;2016;Barranco;ROBO AGRAVADO;20135208.0
-77.02450183;-12.14247088;2016;Barranco;ROBO AGRAVADO;20005413.0
-77.0204683;-12.15041781;2016;Barranco;ROBO AGRAVADO;20010738.0
-77.02287892;-12.14616806;2016;Barranco;ROBO AGRAVADO;20026932.0
-77.01551442;-12.14246886;2016;Barranco;ROBO AGRAVADO;20063517.0
-77.0215229;-12.1442914;2016;Barranco;ROBO AGRAVADO;20084265.0
-77.01838857;-12.14997385;2016;Barranco;ROBO AGRAVADO;20129469.0
-77.01584928;-12.14369557;2016;Barranco;ROBO AGRAVADO;20131887.0
-77.01949886;-12.14693545;2016;Barranco;ROBO AGRAVADO;20138178.0
-77.01803774;-12.14774002;2016;Barranco;ROBO AGRAVADO;20142675.0
-77.02455191;-12.14236951;2016;Barranco;ROBO AGRAVADO;20234805.0
-77.02148012;-12.13904956;2016;Barranco;ROBO AGRAVADO;20256180.0
-77.02178298;-12.14652196;2016;Barranco;ROBO AGRAVADO;20262183.0
-77.01800224;-12.14756124;2016;Barranco;ROBO AGRAVADO;20291325.0
-77.022942;-12.15319544;2016;Barranco;ROBO AGRAVADO;20327364.0
-77.02216202;-12.14779598;2016;Barranco;ROBO AGRAVADO;20336493.0
-77.01650963;-12.14614469;2016;Barranco;ROBO AGRAVADO;20366880.0
-77.01643879;-12.13698987;2016;Barranco;ROBO AGRAVADO;20367546.0
-77.01555816;-12.14372405;2016;Barranco;ROBO AGRAVADO;20370924.0
-77.01960091;-12.14672873;2016;Barranco;ROBO AGRAVADO;20373738.0
-77.01650963;-12.14614469;2016;Barranco;ROBO AGRAVADO;20392626.0
-77.0207663;-12.14701621;2016;Barranco;ROBO AGRAVADO;20434656.0
-77.01570572;-12.14140916;2016;Barranco;ROBO AGRAVADO;20489793.0
-77.01912631;-12.14320594;2016;Barranco;ROBO AGRAVADO;20504718.0
-77.01908003;-12.14978742;2016;Barranco;ROBO AGRAVADO;20513115.0
-77.02096523;-12.14384493;2016;Barranco;ROBO AGRAVADO;20621259.0
-77.02019852;-12.13962235;2016;Barranco;ROBO AGRAVADO;20670420.0
-77.01960006;-12.14675911;2016;Barranco;ROBO AGRAVADO;20670684.0
-77.02166318;-12.14667728;2016;Barranco;ROBO AGRAVADO;20697702.0
-77.0195426;-12.136936;2016;Barranco;ROBO AGRAVADO;20719314.0
-77.02212433;-12.14270149;2016;Barranco;ROBO AGRAVADO;20719668.0
-77.02234413;-12.14628115;2016;Barranco;ROBO AGRAVADO;20834076.0
-77.0221414;-12.14247907;2016;Barranco;ROBO AGRAVADO;20853093.0
-77.01944621;-12.14619915;2016;Barranco;ROBO AGRAVADO;20900175.0
-77.01716482;-12.14355352;2016;Barranco;ROBO AGRAVADO;20954997.0
-77.0227558;-12.15039112;2016;Barranco;ROBO AGRAVADO;20980446.0
-77.02184242;-12.15281204;2016;Barranco;ROBO AGRAVADO;20987706.0
-77.0212301;-12.1394141;2016;Barranco;ROBO AGRAVADO;21021864.0
-77.01874882;-12.14654114;2016;Barranco;ROBO AGRAVADO;21064293.0
-77.02166124;-12.14286888;2016;Barranco;ROBO AGRAVADO;21164178.0
-77.01961206;-12.13695968;2016;Barranco;ROBO AGRAVADO;21200679.0
-77.01903767;-12.14647852;2016;Barranco;ROBO AGRAVADO;21205734.0
-77.01800885;-12.14763157;2016;Barranco;ROBO AGRAVADO;21235362.0
-77.017107;-12.141;2016;Barranco;ROBO AGRAVADO;21244890.0
-77.01650963;-12.14614469;2016;Barranco;ROBO AGRAVADO;21280470.0
-77.02256076;-12.15021868;2016;Barranco;ROBO AGRAVADO;21348117.0
-77.02318186;-12.15397047;2016;Barranco;ROBO AGRAVADO;21349176.0
-77.02209786;-12.14636839;2016;Barranco;ROBO AGRAVADO;21385719.0
-77.02326539;-12.1540523;2016;Barranco;ROBO AGRAVADO;21398127.0
-77.0186041;-12.14179059;2016;Barranco;ROBO AGRAVADO;21401460.0
-77.01978873;-12.15130531;2016;Barranco;ROBO AGRAVADO;21411051.0
-77.01959921;-12.14682794;2016;Barranco;ROBO AGRAVADO;21434643.0
-77.02093257;-12.143892;2016;Barranco;ROBO AGRAVADO;21481701.0
-77.02261205;-12.15365001;2016;Barranco;ROBO AGRAVADO;21495351.0
-77.01724343;-12.13630742;2016;Barranco;ROBO AGRAVADO;21618000.0
-77.01837134;-12.14061996;2016;Barranco;ROBO AGRAVADO;21684510.0
-77.01676006;-12.14512688;2016;Barranco;ROBO AGRAVADO;21716154.0
-77.0211611;-12.1475033;2016;Barranco;ROBO AGRAVADO;21747522.0
-77.01845955;-12.14666443;2016;Barranco;ROBO AGRAVADO;21818526.0
-77.02451782;-12.13709419;2016;Barranco;ROBO AGRAVADO;21913902.0
-77.02342913;-12.15416732;2016;Barranco;ROBO AGRAVADO;21978744.0
-77.01752577;-12.14158977;2016;Barranco;ROBO AGRAVADO;21996147.0
-77.02019308;-12.13940216;2016;Barranco;ROBO AGRAVADO;22046871.0
-77.01461081;-12.14383576;2016;Barranco;ROBO AGRAVADO;22318026.0
-77.01475787;-12.14295601;2016;Barranco;ROBO AGRAVADO;22350153.0
-77.0201325;-12.15013935;2016;Barranco;ROBO AGRAVADO;22356366.0
-77.01661387;-12.14125602;2016;Barranco;ROBO AGRAVADO;22421502.0
-77.0197505;-12.13821012;2016;Barranco;ROBO AGRAVADO;22644777.0
-77.02147912;-12.13908161;2016;Barranco;ROBO AGRAVADO;22719231.0
-77.02039363;-12.15059711;2016;Barranco;ROBO AGRAVADO;22721184.0
-77.01904744;-12.14647081;2016;Barranco;ROBO AGRAVADO;22729926.0
-77.02433686;-12.15652779;2016;Barranco;ROBO AGRAVADO;22782486.0
-77.01563087;-12.14269421;2016;Barranco;ROBO AGRAVADO;22819938.0
-77.02043093;-12.15162572;2016;Barranco;ROBO AGRAVADO;22840941.0
-77.01752648;-12.14160959;2016;Barranco;ROBO AGRAVADO;23892567.0
-77.02203791;-12.14259845;2016;Barranco;ROBO AGRAVADO;24028584.0
-77.01383145;-12.1393259;2016;Barranco;ROBO AGRAVADO;24085884.0
-77.01957084;-12.13696197;2016;Barranco;ROBO AGRAVADO;24128601.0
-77.01287476;-12.14005039;2016;Barranco;ROBO AGRAVADO;24351126.0
-77.01787538;-12.14026038;2016;Barranco;ROBO AGRAVADO;24418731.0
-77.01599667;-12.14006946;2016;Barranco;ROBO AGRAVADO;24502089.0
-77.019586;-12.15125907;2016;Barranco;ROBO AGRAVADO;24513060.0
-77.02014771;-12.13969699;2016;Barranco;ROBO AGRAVADO;24554271.0
-77.01958177;-12.13327634;2016;Barranco;ROBO AGRAVADO;24609939.0
-77.01756661;-12.1416737;2016;Barranco;ROBO AGRAVADO;24611187.0
-77.0187481;-12.1392922;2016;Barranco;ROBO AGRAVADO;24665523.0
-77.0255176;-12.1374054;2016;Barranco;ROBO AGRAVADO;24689355.0
-77.01853203;-12.15256487;2016;Barranco;ROBO AGRAVADO;24692037.0
-77.02318116;-12.1540761;2016;Barranco;ROBO AGRAVADO;24759087.0
-77.02230014;-12.14634754;2016;Barranco;ROBO AGRAVADO;24775191.0
-77.01784495;-12.1486293;2016;Barranco;ROBO AGRAVADO;24972738.0
-77.02044738;-12.15051296;2016;Barranco;ROBO AGRAVADO;25005579.0
-77.0207426;-12.1528055;2016;Barranco;ROBO AGRAVADO;25134714.0
-77.02250149;-12.15039489;2016;Barranco;ROBO AGRAVADO;25190457.0
-77.0225441;-12.1378773;2016;Barranco;ROBO AGRAVADO;25221711.0
-77.01823962;-12.14983071;2016;Barranco;ROBO AGRAVADO;25239045.0
-77.0251332;-12.14147581;2016;Barranco;ROBO AGRAVADO;25272495.0
-77.01638871;-12.14699473;2016;Barranco;ROBO AGRAVADO;25278582.0
-77.01657757;-12.14189148;2016;Barranco;ROBO AGRAVADO;25286826.0
-77.01720858;-12.1412238;2016;Barranco;ROBO AGRAVADO;25308297.0
-77.02247331;-12.15175058;2016;Barranco;ROBO AGRAVADO;25383759.0
-77.01589382;-12.14528306;2016;Barranco;ROBO AGRAVADO;25396986.0
-77.02098555;-12.15370284;2016;Barranco;ROBO AGRAVADO;25400280.0
-77.0163335;-12.1420493;2016;Barranco;ROBO AGRAVADO;25494744.0
-77.02279874;-12.13594823;2016;Barranco;ROBO AGRAVADO;25610754.0
-77.02149586;-12.13913383;2016;Barranco;ROBO AGRAVADO;25627614.0
-77.01477703;-12.14294942;2016;Barranco;ROBO AGRAVADO;25738413.0
-77.02303772;-12.15325915;2016;Barranco;ROBO AGRAVADO;25796838.0
-77.02335473;-12.14231876;2016;Barranco;ROBO AGRAVADO;25807428.0
-77.01913409;-12.1452474;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;23094771.0
-77.01886253;-12.15255706;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20472270.0
-77.02301913;-12.15324799;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22708002.0
-77.01983211;-12.15205151;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22073658.0
-77.0219916;-12.15577811;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22766088.0
-77.02186054;-12.15284435;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;23998392.0
-77.01950219;-12.14491112;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21868869.0
-77.01941832;-12.15262355;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;24902811.0
-77.01567404;-12.14553034;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;22875411.0
-77.02311091;-12.1422452;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;24799629.0
-77.02040946;-12.13730418;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20570484.0
-77.02124446;-12.13943347;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20601114.0
-77.02243446;-12.15197864;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;25495086.0
-77.01919166;-12.14323484;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;24266049.0
