longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-76.997245,-12.067168,2021,La Victoria,ROBO AGRAVADO,549748.0,-8571294.10588493,-1353353.5132942658,17,1.0
-76.99721913,-12.06723673,2021,La Victoria,ROBO AGRAVADO,759839.0,-8571291.226049704,-1353361.3371664404,17,0.010400087322753097
-76.99781176,-12.06717639,2021,La Victoria,ROBO,79533.0,-8571357.197319532,-1353354.4683689084,17,0.0017411302300106922
-76.997245,-12.067168,2021,La Victoria,HURTO,549714.0,-8571294.10588493,-1353353.5132942658,17,1.0
-76.99781176,-12.06717639,2021,La Victoria,HURTO,658673.0,-8571357.197319532,-1353354.4683689084,17,0.0017411302300106922
-76.997246,-12.067168,2021,La Victoria,HURTO,258941.0,-8571294.217204422,-1353353.5132942658,17,1.0
-76.99727334,-12.06712049,2021,La Victoria,HURTO,549694.0,-8571297.260679299,-1353348.1049996873,17,0.013171146257819222
-76.99781176,-12.06717639,2021,La Victoria,HURTO,197602.0,-8571357.197319532,-1353354.4683689084,17,0.0017411302300106922
-76.997246,-12.067168,2021,La Victoria,HURTO,613326.0,-8571294.217204422,-1353353.5132942658,17,1.0
-76.997245,-12.067168,2021,La Victoria,HURTO,549728.0,-8571294.10588493,-1353353.5132942658,17,1.0
-76.99781176,-12.06717639,2021,La Victoria,HURTO,549695.0,-8571357.197319532,-1353354.4683689084,17,0.0017411302300106922
-76.997246,-12.067168,2021,La Victoria,HURTO,606390.0,-8571294.217204422,-1353353.5132942658,17,1.0
-76.9973698,-12.0670042,2021,La Victoria,HURTO AGRAVADO,449059.0,-8571307.998557381,-1353334.8671469302,17,0.003432873043752393
-76.9980539,-12.0660767,2021,La Victoria,HURTO AGRAVADO,79523.0,-8571384.152221031,-1353229.285544707,-1,0.0
-76.9980539,-12.0660767,2021,La Victoria,HURTO AGRAVADO,197622.0,-8571384.152221031,-1353229.285544707,-1,0.0
-76.9980539,-12.0660767,2021,La Victoria,HURTO AGRAVADO,350201.0,-8571384.152221031,-1353229.285544707,-1,0.0
-76.99721913,-12.06723673,2021,La Victoria,HURTO AGRAVADO,605313.0,-8571291.226049704,-1353361.3371664404,17,0.010400087322753097
-76.9973698,-12.0670042,2021,La Victoria,HURTO AGRAVADO,79524.0,-8571307.998557381,-1353334.8671469302,17,0.003432873043752393
-76.997245,-12.067168,2021,La Victoria,HURTO AGRAVADO,5513.0,-8571294.10588493,-1353353.5132942658,17,1.0
-77.00898905,-12.06292725,2021,La Victoria,ROBO AGRAVADO,68432.0,-8572601.447550781,-1352870.7718537427,-1,0.0
-77.0101043,-12.0620648,2021,La Victoria,ROBO AGRAVADO,525167.0,-8572725.596612886,-1352772.5966741953,69,1.0
-77.00591861,-12.06300949,2021,La Victoria,ROBO AGRAVADO,251576.0,-8572259.647733469,-1352880.1334874488,-1,0.0
-77.0101043,-12.0620648,2021,La Victoria,ROBO AGRAVADO,170182.0,-8572725.596612886,-1352772.5966741953,69,1.0
-77.0101043,-12.0620648,2021,La Victoria,ROBO AGRAVADO,756299.0,-8572725.596612886,-1352772.5966741953,69,1.0
