longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.022219,-12.1426863,2022,Barranco,ROBO AGRAVADO,249710.0,-8574074.198848002,-1361951.3436383107,-1,0.0
-77.02420307,-12.15669228,2022,Barranco,ROBO AGRAVADO,113297.0,-8574295.064510098,-1363546.2053863213,-1,0.0
-77.02348108,-12.15410773,2022,Barranco,ROBO AGRAVADO,286030.0,-8574214.692950942,-1363251.8962132244,2,0.0
-77.01823627,-12.13307797,2022,Barranco,ROBO AGRAVADO,283781.0,-8573630.843372433,-1360857.2910650517,-1,0.0
-77.01636948,-12.14699249,2022,Barranco,ROBO AGRAVADO,10199.0,-8573423.033260215,-1362441.6808061453,11,1.0
-77.02063229,-12.15055826,2022,Barranco,ROBO AGRAVADO,339010.0,-8573897.567098763,-1362847.713845781,22,1.0
-77.01801023,-12.14763908,2022,Barranco,ROBO AGRAVADO,437867.0,-8573605.680714736,-1362515.307389855,11,1.0
-77.01942487,-12.14501812,2022,Barranco,ROBO AGRAVADO,111750.0,-8573763.157719191,-1362216.8622929077,-1,0.0
-77.01458809,-12.14299524,2022,Barranco,ROBO AGRAVADO,130931.0,-8573224.729832511,-1361986.521748783,18,1.0
-77.01458809,-12.14299524,2022,Barranco,ROBO AGRAVADO,249252.0,-8573224.729832511,-1361986.521748783,18,1.0
-77.02192501,-12.14620959,2022,Barranco,ROBO AGRAVADO,204352.0,-8574041.472030902,-1362352.5329727158,33,0.8361462814053714
-77.01795408,-12.14717738,2022,Barranco,ROBO AGRAVADO,71025.0,-8573599.430125326,-1362462.7340350177,11,1.0
-77.02329719,-12.1424825,2022,Barranco,ROBO AGRAVADO,82657.0,-8574194.222409777,-1361928.1375400007,13,0.47524412562209806
-77.01660286,-12.14135488,2022,Barranco,ROBO AGRAVADO,26433.0,-8573449.013002977,-1361799.7391338996,-1,0.0
-77.02234028,-12.14095231,2022,Barranco,ROBO AGRAVADO,183906.0,-8574087.699675843,-1361753.8999346595,10,1.0
-77.02213286,-12.14287377,2022,Barranco,ROBO AGRAVADO,82672.0,-8574064.609787064,-1361972.6903038966,12,1.0
-77.02134187,-12.13922512,2022,Barranco,ROBO AGRAVADO,17734.0,-8573976.55718304,-1361557.2318024351,5,1.0
-77.0178074,-12.14040331,2022,Barranco,ROBO AGRAVADO,169396.0,-8573583.101782417,-1361691.3873891989,30,0.2908390093831504
-77.01827078,-12.14338826,2022,Barranco,ROBO AGRAVADO,390084.0,-8573634.68500806,-1362031.2738663505,-1,0.0
-77.02134187,-12.13922512,2022,Barranco,ROBO AGRAVADO,301383.0,-8573976.55718304,-1361557.2318024351,5,1.0
-77.01762929,-12.14097286,2022,Barranco,ROBO AGRAVADO,82629.0,-8573563.274667913,-1361756.239887634,31,1.0
-77.02065462,-12.14688116,2022,Barranco,ROBO AGRAVADO,120093.0,-8573900.052862993,-1362429.003783772,-1,0.0
-77.02033825,-12.15180311,2022,Barranco,ROBO AGRAVADO,434542.0,-8573864.83471569,-1362989.4657808975,-1,0.0
-77.02234028,-12.14095231,2022,Barranco,ROBO AGRAVADO,97263.0,-8574087.699675843,-1361753.8999346595,10,1.0
-77.02203709,-12.14706382,2022,Barranco,ROBO AGRAVADO,477804.0,-8574053.94871943,-1362449.8030761164,32,0.7142175796791294
-77.02238914,-12.13771617,2022,Barranco,ROBO AGRAVADO,372256.0,-8574093.138746165,-1361385.4148191079,6,1.0
-77.02298937,-12.15309687,2022,Barranco,ROBO AGRAVADO,200954.0,-8574159.956044124,-1363136.7878344872,3,1.0
-77.01972326,-12.14647361,2022,Barranco,ROBO AGRAVADO,301395.0,-8573796.374342049,-1362382.5965671,29,0.992712164386516
-77.02451782,-12.13709419,2022,Barranco,ROBO AGRAVADO,231492.0,-8574330.102319825,-1361314.5931882549,-1,0.0
-77.02297524,-12.14594732,2022,Barranco,ROBO AGRAVADO,322044.0,-8574158.383099718,-1362322.6686779454,34,1.0
-77.02298937,-12.15309687,2022,Barranco,ROBO AGRAVADO,17752.0,-8574159.956044124,-1363136.7878344872,3,1.0
-77.02330618,-12.15401031,2022,Barranco,ROBO AGRAVADO,1138.0,-8574195.223172002,-1363240.8028100755,2,1.0
-77.01405759,-12.14163347,2022,Barranco,ROBO AGRAVADO,391217.0,-8573165.674842644,-1361831.4612166374,-1,0.0
-77.02123457,-12.15290642,2022,Barranco,ROBO AGRAVADO,228013.0,-8573964.612601679,-1363115.10101214,-1,0.0
-77.01794045,-12.14784861,2022,Barranco,ROBO AGRAVADO,368722.0,-8573597.912840666,-1362539.1664085446,11,1.0
-77.01863508,-12.14431435,2022,Barranco,ROBO AGRAVADO,174933.0,-8573675.238698557,-1362136.7254749576,21,1.0
-77.01953485,-12.1423774,2022,Barranco,ROBO AGRAVADO,301356.0,-8573775.400636788,-1361916.1701233275,9,0.7614619761875808
-77.01773654,-12.14726625,2022,Barranco,ROBO AGRAVADO,428614.0,-8573575.2136833,-1362472.8535731866,11,1.0
-77.01622341,-12.14222159,2022,Barranco,ROBO AGRAVADO,17687.0,-8573406.772822194,-1361898.4285222024,-1,0.0
