estrategia,cv_scheme,n_features,auc,accuracy_default,f1_default,optimal_threshold,f1_optimal,accuracy_optimal
visual_only + logistic,spatial,1536,0.6812535183047257,0.8191856452726018,0.28804347826086957,0.06775772225797125,0.3256578947364497,0.7170462387853692
visual_only + logistic,random,1536,0.879204075985841,0.8951000690131125,0.5555555555555556,0.4461591118016987,0.5674157303365821,0.893719806763285
visual_only + random_forest,spatial,1536,0.7043574502189697,0.8902691511387164,0.07017543859649122,0.2451124539510784,0.349854227404749,0.8461007591442374
visual_only + random_forest,random,1536,0.8868560906029063,0.9013112491373361,0.35294117647058826,0.29441308813034167,0.5647668393777504,0.8840579710144928
visual_only + mlp,spatial,1536,0.707649152267458,0.8847481021394065,0.27074235807860264,0.23833268880844116,0.3506493506488524,0.8619737750172533
visual_only + mlp,random,1536,0.857579024702077,0.9061421670117322,0.5,0.14610028266906738,0.5227817745798595,0.862663906142167
structural_only + logistic,spatial,5,0.6439857264166245,0.6949620427881298,0.2730263157894737,0.5979902994009648,0.31818181818133384,0.8136645962732919
structural_only + logistic,random,5,0.7241410565886518,0.6763285024154589,0.30927835051546393,0.6023511596390971,0.343529411764233,0.8074534161490683
structural_only + random_forest,spatial,5,0.5036948162848611,0.8233264320220842,0.18471337579617833,0.001147124327020642,0.20223325062016562,0.11249137336093858
structural_only + random_forest,random,5,0.7295556679292807,0.8454106280193237,0.35260115606936415,0.4864300689924466,0.37119113573357676,0.8433402346445825
structural_only + mlp,spatial,5,0.6536079916801038,0.8785369220151829,0.022222222222222223,0.36779874563217163,0.3181818181813517,0.7929606625258799
structural_only + mlp,random,5,0.6363432529649171,0.8812974465148378,0.06521739130434782,0.3909852206707001,0.27364185110619904,0.7508626639061422
fused + logistic,spatial,1541,0.7048822143136562,0.8281573498964804,0.31024930747922436,0.26688149702756137,0.34942528735585326,0.8046928916494134
fused + logistic,random,1541,0.9003043631749182,0.9033816425120773,0.5833333333333334,0.330308630606059,0.6134020618551829,0.8964803312629399
fused + random_forest,spatial,1541,0.7174431585073802,0.8916494133885439,0.09248554913294797,0.22946398398612777,0.37270341207300123,0.8350586611456177
fused + random_forest,random,1541,0.8913929147306052,0.904071773636991,0.365296803652968,0.2778579695490837,0.5590361445778362,0.8737060041407867
fused + mlp,spatial,1541,0.6631300747073247,0.8868184955141477,0.28695652173913044,0.19846980273723602,0.334293948126303,0.8405797101449275
fused + mlp,random,1541,0.8951187398028796,0.9158040027605245,0.5793103448275863,0.40989601612091064,0.5999999999995014,0.9144237405106971
