node_id,lon,lat,crime_count,neigh_total,label,node_label,neighbourhood_label,threshold,strat_tag
197654185,-77.0214719,-12.1343014,3,3,seguro,seguro,seguro,14.947909303101042,dualgmm
258309932,-77.0266267,-12.1419848,0,0,seguro,seguro,seguro,14.947909303101042,dualgmm
263621934,-77.0226785,-12.1369635,0,3,seguro,seguro,seguro,14.947909303101042,dualgmm
263621936,-77.0223782,-12.1395012,2,6,seguro,seguro,seguro,14.947909303101042,dualgmm
263621937,-77.0223137,-12.1403926,1,5,seguro,seguro,seguro,14.947909303101042,dualgmm
263622404,-77.0221578,-12.141151,2,16,peligroso,seguro,peligroso,14.947909303101042,dualgmm
263622407,-77.0222574,-12.1394901,3,8,seguro,seguro,seguro,14.947909303101042,dualgmm
263622408,-77.0222735,-12.1392624,0,6,seguro,seguro,seguro,14.947909303101042,dualgmm
263622411,-77.0223211,-12.1386361,0,0,seguro,seguro,seguro,14.947909303101042,dualgmm
263622412,-77.0224057,-12.1378485,0,7,seguro,seguro,seguro,14.947909303101042,dualgmm
263622413,-77.0225388,-12.1370724,2,4,seguro,seguro,seguro,14.947909303101042,dualgmm
263622414,-77.0227477,-12.1358543,1,2,seguro,seguro,seguro,14.947909303101042,dualgmm
263631691,-77.017924,-12.1356076,0,1,seguro,seguro,seguro,14.947909303101042,dualgmm
263631693,-77.0184188,-12.135665,0,3,seguro,seguro,seguro,14.947909303101042,dualgmm
263631697,-77.0204271,-12.1338917,0,0,seguro,seguro,seguro,14.947909303101042,dualgmm
263635519,-77.0189599,-12.1315789,3,3,seguro,seguro,seguro,14.947909303101042,dualgmm
263635941,-77.0179669,-12.1322216,7,7,seguro,peligroso,seguro,14.947909303101042,dualgmm
263636369,-77.0192577,-12.1335649,0,1,seguro,seguro,seguro,14.947909303101042,dualgmm
263636370,-77.0196062,-12.1329118,0,3,seguro,seguro,seguro,14.947909303101042,dualgmm
263636371,-77.0199958,-12.13213,2,4,seguro,seguro,seguro,14.947909303101042,dualgmm
263636372,-77.0202063,-12.1316889,2,4,seguro,seguro,seguro,14.947909303101042,dualgmm
263636878,-77.0206719,-12.1324535,0,2,seguro,seguro,seguro,14.947909303101042,dualgmm
263638414,-77.0187819,-12.1333544,1,1,seguro,seguro,seguro,14.947909303101042,dualgmm
263640435,-77.0220501,-12.1347311,0,0,seguro,seguro,seguro,14.947909303101042,dualgmm
263640436,-77.0213949,-12.1343621,0,4,seguro,seguro,seguro,14.947909303101042,dualgmm
263640458,-77.0200443,-12.1342732,0,0,seguro,seguro,seguro,14.947909303101042,dualgmm
263641100,-77.0191206,-12.1356401,4,10,seguro,seguro,seguro,14.947909303101042,dualgmm
263641105,-77.0183186,-12.1373485,0,14,seguro,seguro,seguro,14.947909303101042,dualgmm
263641107,-77.0179947,-12.1382612,8,32,peligroso,peligroso,peligroso,14.947909303101042,dualgmm
263642540,-77.026257,-12.1422916,0,4,seguro,seguro,seguro,14.947909303101042,dualgmm
316633867,-77.0178756,-12.1418803,5,9,seguro,seguro,seguro,14.947909303101042,dualgmm
316633871,-77.0193488,-12.1456908,1,14,seguro,seguro,seguro,14.947909303101042,dualgmm
316633878,-77.0198708,-12.1522443,4,36,peligroso,seguro,peligroso,14.947909303101042,dualgmm
316634026,-77.0178095,-12.141904,2,50,peligroso,seguro,peligroso,14.947909303101042,dualgmm
