u,v,length_m
197654185,3672931645,10.836278264185975
197654185,263631693,469.21128513345116
258309932,6128880192,105.48939683736023
263621934,3952827987,112.57835400756483
263621934,3952821598,267.74204392496864
263621934,3952827980,123.47057467723525
263621936,263621937,99.3696503338562
263621936,3952828770,48.3654156219301
263621936,263622407,13.18987461440893
263621936,3952828765,38.123916790462495
263621937,1192969371,14.532445497797907
263621937,4344600231,85.3955369290164
263621937,391009553,118.02806138216091
263622404,4344600231,9.26753702885478
263622404,1192969371,85.60364382036325
263622404,391019718,120.12899897967463
263622404,391012566,115.07687145335325
263622407,263622408,25.379541969629866
263622407,391007683,25.779278172214514
263622407,1192969371,99.47294353289412
263622408,10719741840,36.97078138574473
263622408,391007683,36.857128379682095
263622411,391017681,49.5222579447799
263622411,263622412,88.0754768324376
263622411,10719741840,32.86368209039112
263622412,263622413,87.5030882688911
263622412,3952827987,19.458285251456132
263622412,391017387,57.454162233305745
263622413,391016290,69.58922738976624
263622413,391015732,83.63554940286993
263622414,5476366885,119.12525466718863
263622414,391015696,93.91643861207498
263622414,391015732,53.70176586411222
263631691,3316136608,25.699538380694467
263631691,12679339325,33.78841333885335
263631691,459319088,33.42974718179116
263631693,263640458,235.89818189413953
263631693,12679339325,29.599000889136352
263631697,12876099458,105.5931015507903
263631697,263640458,59.425292983983624
263635519,1837245629,67.6472621356599
263635519,1837245638,236.5371998275848
263635941,4266807084,154.68984592618673
263636369,263636370,81.9098291881835
263636369,459319088,297.2981073908158
263636369,12374206471,241.40762173584093
263636369,263638414,56.77423819976205
263636370,263636371,96.70101893847486
263636370,2908329100,16.09345058979877
263636371,1837245629,60.56078640136832
263636371,263636372,54.125452107776994
263636372,263636878,98.94621083673093
263636878,4346181219,15.47408435615569
263638414,12365956987,6.41004536602729
263638414,1837245638,96.76952232762075
263640435,263640436,82.21191219564949
263640435,4384398038,86.57396901841058
263640435,5476366885,37.63180499755711
263640436,263641100,305.1654619518844
263640436,263640458,436.0759320438008
263641100,4346175440,123.6345922066468
263641105,391018363,111.01671231309254
263641105,263641107,107.4685821896747
263641105,4346175440,85.91238946467482
263641107,4266808709,86.5759501023354
263641107,391018362,113.36371877009792
263642540,10721342953,613.5449411332826
263642540,5005642847,330.93504085962303
316633867,2980275446,1.1419052599029154
316633867,1839467984,323.7847994820667
316633867,4345082542,319.45523277916
316633871,4346146371,59.84236269683355
316633871,4266825894,64.68395922749957
316633871,434289054,50.856432311392034
316633878,5524235598,63.45908558976547
316633878,1815623573,132.2506740646299
316633878,434289102,95.19359951128415
316634026,3672931642,23.81915498009168
316634026,391007541,327.6436666236945
316634026,391022450,96.03144330101341
316634026,2980275446,7.54521808779775
316634026,3672931639,29.302399872990165
316634031,434289145,132.27932170530505
316634031,3672906437,103.46655791914007
316634031,434289143,58.514307888180184
316634031,1839460740,5.408385803065141
316634032,1405227860,19.53008741786096
316634032,434289143,135.54631292946448
316634032,678989746,264.7386402333345
316634032,3672893676,189.85146278963714
316634035,4884495900,145.20501045382508
316634035,678989669,95.01771155963222
316634035,4297316165,96.07597890529479
316634165,434289102,113.86560202146235
316634165,434289093,335.6614432000555
316634165,1839467992,38.15401843471474
316634165,371265022,191.08876126852326
316634246,2174304703,45.80842142307234
316634246,2980275446,25.69001760935203
316634246,1579083033,15.841025394124346
316757396,678989821,79.75579677776616
316757396,316757405,10.80618975905248
316757396,678989814,72.11401479263425
316757396,4203689689,110.26596902732751
316757405,7245129292,21.218845948961857
316757405,316757406,30.155084277698165
316757405,678989822,78.93877166215121
316757406,4203689689,86.84941068716148
316757406,7245129292,20.52303367306771
371264934,4344532852,9.738572887568925
371264934,4170825803,10.088065528408913
371264934,371265019,94.62860994455248
371265019,1815623554,10.429932166588271
371265019,4381382032,31.677266190139125
371265019,10083100533,12.718695888901113
371265019,4381412256,143.96908313994126
371265022,1151314377,14.094355869654272
371265022,4381412246,95.74784348573847
371265030,434289146,60.442194472717
371265030,434289143,197.32088259833233
371265030,678989759,90.86544514276883
371265034,391021177,99.5678113661169
371265034,391020808,118.14848636035623
371265034,678989826,111.63943004343872
371265034,4345080190,53.024883268531944
391003241,391007966,86.84942606330988
391003241,391009559,279.1689214128913
391003241,391003500,218.45531384998895
391003500,391003505,88.20981262402569
391003500,391008260,89.9881030767232
391003505,391010575,151.15262803043987
391003505,1845277063,128.90978128187126
391003520,4344761205,9.505594237697375
391003520,1845277063,135.64639296552218
391003520,391003595,399.66728136238913
391003595,391013663,82.48452880366676
391003595,391013439,132.0584800167728
391007527,391007541,47.149738404072
391007527,391020811,112.97817778945685
391007527,391021179,176.58644179456513
391007541,4345082541,6.687399917869478
391007541,391020814,195.36312955635128
391007680,391018362,83.78074295748733
391007680,4344837187,34.65210013349916
391007680,391018361,151.83756327362588
391007680,4266808709,97.60017910853395
391007680,4344837181,30.95876399046455
391007681,391018032,37.05406094321182
391007681,4271747832,177.09112739547572
391007681,4266831605,14.06320867538863
391007681,4344837187,53.45943094947783
391007682,1273985047,47.88228994541646
391007682,391019994,55.67993247396005
391007682,4271742068,52.58847518045243
391007682,4271747837,34.75911118228586
391007683,391019994,88.94409108179676
391007961,391007963,79.05586555630899
391007961,391009553,128.53483298889336
391007961,2174311465,255.04473461949146
391007961,3952828770,96.36384906183355
391007963,391007966,101.92908153326125
391007963,391009870,97.30428259865104
391007966,391008260,160.1387280374974
391007966,2174311465,182.55126429857162
391008260,391009870,103.58438254926303
391009544,391013943,99.08272930787845
391009544,391013663,105.78248897570658
391009544,391009545,166.4031255480519
391009544,2676305050,50.122565983503215
391009545,434289087,128.29437052418695
391009545,391009546,138.9202364492324
391009545,391013439,100.12619182348841
391009546,13506032313,48.647721163736314
391009546,391009550,30.446772575726687
391009546,391009550,30.495491609271063
391009546,2887499830,100.8009849111099
391009550,2887499842,121.62703406999975
391009550,391009551,97.4626051127971
391009550,4344675721,106.74252537019483
391009551,391011521,122.96250056989622
391009551,391012553,115.48847979590442
391009551,391012566,126.4685220253317
391009553,391012553,86.53173574817208
391009553,391010575,122.21308153865392
391009559,2174311465,57.93398175478718
391009559,3974039004,229.40625185238997
391009870,391010575,75.6047640576245
391010575,391011523,87.08714196930771
391011521,391011523,116.22069967258808
391011521,4344761205,89.01166245690352
391011521,2887499842,97.52643216057622
391011523,391012553,123.82845096781391
391011523,1845277063,72.06468162169088
391012553,4344600231,117.76078313194488
391012566,434288150,79.70207805268298
391012761,4344675721,20.123403843184924
391012761,434288150,20.58481655787291
391012761,391012762,23.663668694154516
391012762,434289080,35.72722700706388
391012762,4344675713,19.951677833861183
391013439,2887499830,138.4435491386752
391013653,2676305050,77.80365958935833
391013653,434289087,142.36008068948723
