node_id,depth_used,n_points_available,n_candidates_total_no_filter,insufficient_coverage,oversampled_points,oversampled_images,included_in_tensor
197654185,4,2,4,True,True,False,True
258309932,4,0,0,True,False,False,False
263621934,3,9,17,False,False,False,True
263621936,2,13,23,False,False,False,True
263621937,2,20,37,False,False,False,True
263622404,1,11,16,False,False,False,True
263622407,1,5,8,False,False,False,True
263622408,1,5,6,False,False,False,True
263622411,3,26,38,False,False,False,True
263622412,2,5,9,False,False,False,True
263622413,2,7,14,False,False,False,True
263622414,3,5,11,False,False,False,True
263631691,4,4,9,True,True,False,True
263631693,4,4,10,True,True,False,True
263631697,4,2,7,True,True,False,True
263635519,3,5,9,False,False,False,True
263635941,1,5,7,False,False,False,True
263636369,3,6,10,False,False,False,True
263636370,3,6,10,False,False,False,True
263636371,2,5,9,False,False,False,True
263636372,3,5,9,False,False,False,True
263636878,4,2,4,True,True,False,True
263638414,4,3,7,True,True,False,True
263640435,3,6,12,False,False,False,True
263640436,2,5,10,False,False,False,True
263640458,3,7,14,False,False,False,True
263641100,1,5,10,False,False,False,True
263641105,1,7,14,False,False,False,True
263641107,1,13,32,False,False,False,True
263642540,2,7,10,False,False,False,True
316633867,1,8,9,False,False,False,True
316633871,1,9,14,False,False,False,True
316633878,1,21,36,False,False,False,True
316634026,1,36,50,False,False,False,True
316634031,1,46,59,False,False,False,True
316634032,1,27,33,False,False,False,True
316634035,1,7,12,False,False,False,True
316634165,1,50,83,False,False,False,True
316634246,1,8,9,False,False,False,True
316757396,1,21,32,False,False,False,True
316757405,1,14,21,False,False,False,True
316757406,1,9,13,False,False,False,True
371264934,2,27,35,False,False,False,True
371265019,1,14,16,False,False,False,True
371265022,1,25,37,False,False,False,True
371265030,1,41,46,False,False,False,True
371265034,1,18,24,False,False,False,True
391003241,1,13,22,False,False,False,True
391003500,1,8,18,False,False,False,True
391003505,2,12,26,False,False,False,True
391003520,2,9,20,False,False,False,True
391003595,2,15,32,False,False,False,True
391007527,1,28,35,False,False,False,True
391007541,1,10,22,False,False,False,True
391007680,1,16,31,False,False,False,True
391007681,2,7,9,False,False,False,True
391007682,1,20,25,False,False,False,True
391007683,1,17,21,False,False,False,True
391007961,1,10,16,False,False,False,True
391007963,1,10,19,False,False,False,True
391007966,1,13,20,False,False,False,True
391008260,1,7,13,False,False,False,True
391009544,1,22,38,False,False,False,True
391009545,1,19,37,False,False,False,True
391009546,1,13,22,False,False,False,True
391009550,1,16,33,False,False,False,True
391009551,1,28,48,False,False,False,True
391009553,1,14,27,False,False,False,True
391009559,1,12,19,False,False,False,True
391009870,1,5,9,False,False,False,True
391010575,2,22,46,False,False,False,True
391011521,1,16,32,False,False,False,True
391011523,1,11,19,False,False,False,True
391012553,1,18,38,False,False,False,True
391012566,1,29,43,False,False,False,True
391012761,1,10,13,False,False,False,True
391012762,2,32,37,False,False,False,True
391013439,1,7,16,False,False,False,True
391013653,1,28,36,False,False,False,True
391013663,1,5,14,False,False,False,True
391013941,1,10,16,False,False,False,True
391013943,1,16,28,False,False,False,True
391015696,3,7,20,False,False,False,True
391015697,3,15,32,False,False,False,True
391015732,3,8,19,False,False,False,True
391015733,2,6,17,False,False,False,True
391015736,2,8,21,False,False,False,True
391015737,2,8,18,False,False,False,True
391016290,1,5,11,False,False,False,True
391016292,1,10,18,False,False,False,True
391016295,1,7,15,False,False,False,True
391016298,1,7,11,False,False,False,True
391017387,2,17,32,False,False,False,True
391017388,1,9,19,False,False,False,True
391017389,1,12,23,False,False,False,True
391017391,1,14,27,False,False,False,True
391017681,2,18,28,False,False,False,True
391017682,1,16,23,False,False,False,True
391017683,1,5,9,False,False,False,True
391017684,1,5,5,False,False,False,True
391018032,1,5,6,False,False,False,True
391018140,1,9,14,False,False,False,True
391018142,4,4,13,True,True,False,True
391018361,1,22,35,False,False,False,True
391018362,1,5,11,False,False,False,True
391018363,2,19,38,False,False,False,True
391018364,3,5,13,False,False,False,True
391019695,2,11,20,False,False,False,True
391019718,1,6,11,False,False,False,True
391019946,2,21,35,False,False,False,True
391019994,1,20,27,False,False,False,True
391019999,1,11,20,False,False,False,True
391020019,2,8,14,False,False,False,True
391020020,3,11,18,False,False,False,True
391020322,1,16,24,False,False,False,True
391020370,2,24,34,False,False,False,True
391020463,1,5,7,False,False,False,True
391020808,1,11,16,False,False,False,True
391020809,1,21,32,False,False,False,True
391020810,1,42,52,False,False,False,True
391020811,1,28,43,False,False,False,True
391020814,1,28,35,False,False,False,True
391021177,1,10,15,False,False,False,True
391021178,1,26,33,False,False,False,True
391021179,1,16,27,False,False,False,True
391022450,1,33,43,False,False,False,True
391022455,1,26,36,False,False,False,True
391022922,1,16,23,False,False,False,True
391022925,1,16,21,False,False,False,True
391022927,1,12,17,False,False,False,True
391022972,1,40,49,False,False,False,True
391023510,1,29,34,False,False,False,True
434288150,1,19,22,False,False,False,True
434288151,1,12,19,False,False,False,True
434288204,1,11,17,False,False,False,True
434288206,1,21,35,False,False,False,True
434288208,1,22,33,False,False,False,True
434288215,1,18,25,False,False,False,True
434288301,1,20,32,False,False,False,True
434288316,1,19,28,False,False,False,True
434288571,1,14,19,False,False,False,True
434288997,1,27,39,False,False,False,True
434289035,1,12,17,False,False,False,True
434289050,1,13,18,False,False,False,True
434289053,2,20,29,False,False,False,True
434289054,1,12,16,False,False,False,True
434289057,1,9,9,False,False,False,True
434289058,1,11,11,False,False,False,True
434289059,1,9,15,False,False,False,True
434289080,1,21,26,False,False,False,True
434289084,2,34,40,False,False,False,True
434289085,1,18,20,False,False,False,True
434289086,1,27,30,False,False,False,True
434289087,1,36,45,False,False,False,True
434289092,1,22,36,False,False,False,True
434289093,1,35,58,False,False,False,True
434289101,1,8,12,False,False,False,True
434289102,1,29,50,False,False,False,True
434289131,1,7,11,False,False,False,True
434289137,1,22,29,False,False,False,True
434289143,1,45,55,False,False,False,True
434289145,1,28,36,False,False,False,True
434289146,1,25,30,False,False,False,True
434289147,2,35,50,False,False,False,True
434289246,1,18,22,False,False,False,True
434289247,1,17,21,False,False,False,True
434289248,1,14,15,False,False,False,True
434289249,2,14,15,False,False,False,True
459319088,4,4,7,True,True,False,True
459457168,2,11,18,False,False,False,True
459457260,1,9,15,False,False,False,True
