node_id,depth_used,n_points_available,n_candidates_total_no_filter,insufficient_coverage,oversampled_points,oversampled_images,included_in_tensor
108153168,6,4,18,True,True,False,True
108154281,5,6,29,False,False,False,True
108161118,4,11,25,False,False,False,True
257946454,1,12,21,False,False,False,True
263106951,6,4,15,True,True,False,True
263360959,4,5,31,False,False,False,True
316624781,5,9,60,False,False,False,True
316624796,2,7,41,False,False,False,True
316624803,4,7,48,False,False,False,True
316625017,5,5,69,False,False,False,True
316626840,5,9,33,False,False,False,True
316628698,2,6,12,False,False,False,True
316628701,3,10,16,False,False,False,True
316629267,4,5,51,False,False,False,True
316629275,3,6,20,False,False,False,True
316629276,2,5,18,False,False,False,True
316629278,2,5,12,False,False,False,True
316629281,5,17,87,False,False,False,True
316629287,5,9,79,False,False,False,True
316629288,5,8,69,False,False,False,True
316629414,5,6,43,False,False,False,True
316629416,5,11,47,False,False,False,True
316629417,4,8,31,False,False,False,True
316629418,3,7,20,False,False,False,True
316629422,1,5,9,False,False,False,True
316629427,2,5,11,False,False,False,True
316629435,5,9,62,False,False,False,True
316629436,4,5,39,False,False,False,True
316629438,4,7,47,False,False,False,True
316629439,4,5,49,False,False,False,True
316629519,3,7,28,False,False,False,True
316629520,3,6,44,False,False,False,True
316629521,2,6,24,False,False,False,True
316629522,1,6,17,False,False,False,True
316629524,1,6,13,False,False,False,True
316629527,1,11,42,False,False,False,True
316629528,2,8,37,False,False,False,True
316629529,1,7,39,False,False,False,True
316629530,1,11,58,False,False,False,True
316629535,1,14,35,False,False,False,True
316629580,1,21,37,False,False,False,True
316629581,1,5,20,False,False,False,True
316629584,1,16,57,False,False,False,True
316629587,1,6,13,False,False,False,True
316629607,2,12,22,False,False,False,True
316634995,3,5,31,False,False,False,True
316635148,4,8,22,False,False,False,True
316635154,4,8,43,False,False,False,True
316635156,4,9,63,False,False,False,True
316635222,3,7,38,False,False,False,True
316635554,3,5,15,False,False,False,True
316635555,3,8,37,False,False,False,True
316635792,2,9,45,False,False,False,True
316635794,1,7,19,False,False,False,True
316635801,1,5,25,False,False,False,True
316635807,2,7,37,False,False,False,True
392152399,4,5,54,False,False,False,True
392152402,3,6,91,False,False,False,True
392152405,3,11,119,False,False,False,True
392153270,4,8,41,False,False,False,True
392153272,4,9,31,False,False,False,True
392153275,3,5,29,False,False,False,True
392153681,4,6,23,False,False,False,True
392153682,4,6,27,False,False,False,True
392153683,5,6,49,False,False,False,True
392153861,3,7,36,False,False,False,True
392154179,3,5,52,False,False,True,True
392154184,4,5,59,False,False,True,True
392154185,4,5,67,False,False,True,True
392154191,4,5,66,False,False,False,True
392154192,4,5,62,False,False,False,True
392154334,4,5,19,False,False,False,True
408629729,3,6,30,False,False,False,True
408629733,3,6,26,False,False,False,True
408629740,3,5,20,False,False,False,True
408629750,3,7,35,False,False,False,True
408629755,3,6,31,False,False,False,True
408629760,3,5,31,False,False,False,True
408629765,3,5,31,False,False,False,True
408629773,3,5,17,False,False,False,True
408629782,3,5,17,False,False,False,True
408629788,3,5,19,False,False,False,True
408629796,3,5,21,False,False,False,True
408629812,3,5,32,False,False,False,True
408629820,4,9,50,False,False,False,True
408629865,3,5,17,False,False,False,True
408629881,3,5,27,False,False,False,True
408629889,4,7,37,False,False,False,True
408629898,4,8,46,False,False,False,True
408629906,4,9,43,False,False,False,True
408629913,3,6,40,False,False,False,True
408629921,3,6,38,False,False,False,True
408629946,2,5,22,False,False,False,True
408629951,3,7,51,False,False,False,True
408629961,4,12,66,False,False,False,True
408630017,2,6,30,False,False,False,True
408630042,2,5,17,False,False,False,True
408630052,3,9,47,False,False,False,True
408630056,3,8,46,False,False,False,True
408630061,3,5,40,False,False,False,True
408630066,3,6,30,False,False,False,True
408630072,4,9,44,False,False,False,True
408630106,4,5,28,False,False,False,True
408630121,2,5,22,False,False,False,True
408630130,1,5,11,False,False,False,True
408630134,2,6,15,False,False,False,True
408630139,3,7,26,False,False,False,True
408630159,4,12,53,False,False,False,True
408630164,3,6,40,False,False,False,True
408630227,4,7,58,False,False,False,True
408630262,3,7,46,False,False,False,True
408630274,3,6,33,False,False,False,True
408630279,3,6,31,False,False,False,True
408630283,3,6,33,False,False,False,True
408630294,3,7,29,False,False,False,True
408630311,5,11,42,False,False,False,True
408630324,3,5,42,False,False,False,True
408630349,3,5,22,False,False,False,True
408630433,5,11,57,False,False,False,True
408630436,3,5,18,False,False,False,True
408630441,4,5,18,False,False,False,True
408630446,4,5,19,False,False,False,True
411809365,2,5,16,False,False,False,True
411809390,5,5,24,False,False,False,True
411809398,4,5,24,False,False,False,True
411809407,4,5,36,False,False,False,True
411809455,4,9,43,False,False,False,True
411809463,3,5,32,False,False,False,True
411809489,4,5,41,False,False,False,True
411812724,4,5,26,False,False,False,True
411812725,5,7,34,False,False,False,True
411812726,4,6,22,False,False,False,True
411812727,5,6,36,False,False,False,True
411812728,5,6,38,False,False,False,True
411812729,4,6,32,False,False,False,True
411812730,5,6,37,False,False,False,True
411812731,5,7,31,False,False,False,True
411812736,5,7,33,False,False,False,True
411812741,5,5,33,False,False,False,True
411812742,6,4,33,True,True,False,True
411812743,5,5,38,False,False,False,True
411812744,4,5,35,False,False,False,True
411812745,4,6,36,False,False,False,True
411812746,4,9,43,False,False,False,True
411812747,3,6,26,False,False,False,True
411812748,2,6,14,False,False,False,True
411812749,1,5,11,False,False,False,True
411812751,2,6,16,False,False,False,True
411812752,3,8,32,False,False,False,True
411812753,4,7,31,False,False,False,True
411812755,5,11,48,False,False,False,True
411812756,4,7,23,False,False,False,True
411812757,5,6,38,False,False,False,True
411812758,4,5,35,False,False,False,True
411812759,4,5,33,False,False,False,True
411812760,5,5,37,False,False,False,True
411812761,4,6,32,False,False,False,True
411812763,3,6,20,False,False,False,True
411812764,5,6,37,False,False,False,True
411812765,5,5,28,False,False,False,True
411852327,6,3,28,True,True,False,True
411852329,6,4,33,True,True,False,True
411852330,5,13,49,False,False,False,True
411852331,4,11,31,False,False,False,True
411852333,2,7,16,False,False,False,True
411852334,2,7,16,False,False,False,True
411852335,3,7,20,False,False,False,True
411852336,4,7,33,False,False,False,True
411852339,6,1,30,True,True,False,True
411852340,4,7,21,False,False,False,True
411852345,3,6,13,False,False,False,True
411852347,2,5,9,False,False,False,True
411852348,3,9,22,False,False,False,True
411852349,3,8,23,False,False,False,True
411852350,4,6,25,False,False,False,True
411852351,3,5,22,False,False,False,True
411852352,3,11,31,False,False,False,True
411852353,2,7,14,False,False,False,True
411852354,3,9,22,False,False,False,True
411852355,2,5,12,False,False,False,True
411852358,3,7,16,False,False,False,True
411852362,3,5,9,False,False,False,True
411852364,4,6,14,False,False,False,True
411852365,5,15,47,False,False,False,True
411852370,4,8,24,False,False,False,True
411852374,4,6,18,False,False,False,True
411852375,3,6,13,False,False,False,True
411852376,4,6,13,False,False,False,True
411852377,5,10,31,False,False,False,True
411852381,4,11,36,False,False,False,True
411852382,5,7,23,False,False,False,True
411852388,3,5,9,False,False,False,True
411852392,4,9,40,False,False,False,True
411852394,5,9,52,False,False,False,True
411852395,5,6,51,False,False,False,True
411852397,4,5,62,False,False,False,True
411852398,4,7,60,False,False,False,True
411852400,4,7,44,False,False,False,True
411852401,4,6,43,False,False,False,True
411852402,4,8,40,False,False,False,True
411852403,3,6,27,False,False,False,True
411852405,3,5,43,False,False,False,True
411852406,4,6,62,False,False,False,True
411852408,5,9,65,False,False,False,True
411852409,4,5,35,False,False,False,True
411852410,3,5,14,False,False,False,True
411852413,3,5,12,False,False,False,True
411852421,6,4,19,True,True,False,True
411852434,6,1,22,True,True,False,True
411852445,6,1,30,True,True,False,True
411852447,4,5,20,False,False,False,True
411852452,5,8,31,False,False,False,True
411852453,3,6,18,False,False,False,True
411852454,5,11,47,False,False,False,True
411934842,4,6,62,False,False,False,True
411934844,3,6,45,False,False,False,True
411934856,2,5,24,False,False,False,True
411934860,2,5,36,False,False,False,True
411934874,3,7,45,False,False,False,True
411934884,3,7,42,False,False,False,True
411934887,4,5,37,False,False,False,True
411934891,5,10,74,False,False,False,True
411934893,2,5,24,False,False,False,True
411934904,1,5,18,False,False,False,True
411935436,2,5,18,False,False,False,True
411935437,3,8,35,False,False,False,True
411935438,2,5,28,False,False,False,True
411935439,3,8,49,False,False,False,True
411935448,3,6,20,False,False,False,True
411935451,3,6,20,False,False,False,True
411935453,3,6,19,False,False,False,True
411935459,3,5,25,False,False,False,True
411935460,4,7,35,False,False,False,True
411935465,5,5,22,False,False,False,True
411935466,6,4,21,True,True,False,True
411941280,2,7,26,False,False,False,True
411941309,2,9,29,False,False,False,True
411941313,1,5,17,False,False,False,True
411941342,2,14,41,False,False,False,True
411941345,1,8,20,False,False,False,True
411941363,2,9,29,False,False,False,True
411941370,2,7,29,False,False,False,True
411941373,2,10,33,False,False,False,True
411941393,2,7,21,False,False,False,True
411941422,2,6,21,False,False,False,True
411941462,3,7,22,False,False,False,True
411941465,5,11,61,False,False,False,True
411941473,4,6,44,False,False,False,True
411941518,3,7,26,False,False,False,True
411941524,2,5,21,False,False,False,True
411941593,4,9,34,False,False,False,True
411941600,4,7,24,False,False,False,True
411941607,3,7,24,False,False,False,True
411941619,4,5,31,False,False,False,True
411941649,4,5,44,False,False,False,True
411941718,3,7,28,False,False,False,True
411941726,3,11,36,False,False,False,True
411941732,3,12,27,False,False,False,True
411941736,2,8,17,False,False,False,True
411941776,4,7,36,False,False,False,True
411941799,3,5,26,False,False,False,True
411941814,3,6,21,False,False,False,True
411941865,3,6,45,False,False,False,True
411941873,4,7,53,False,False,False,True
411941880,4,7,53,False,False,False,True
411941895,2,6,30,False,False,False,True
411941902,3,5,33,False,False,False,True
411941910,4,10,44,False,False,False,True
411941923,5,10,44,False,False,False,True
411941950,3,7,32,False,False,False,True
411941966,3,7,45,False,False,False,True
411941997,4,14,55,False,False,False,True
411942012,3,5,16,False,False,False,True
411942042,3,5,26,False,False,False,True
411942134,3,8,25,False,False,False,True
411942143,3,7,19,False,False,False,True
412184992,3,9,22,False,False,False,True
412184996,2,8,20,False,False,False,True
412184999,2,11,31,False,False,False,True
412185062,4,6,37,False,False,False,True
412185063,3,9,32,False,False,False,True
412185064,2,5,10,False,False,False,True
412185065,2,7,19,False,False,False,True
412185066,2,6,19,False,False,False,True
412185070,1,7,18,False,False,False,True
412185072,1,7,18,False,False,False,True
412185073,2,11,23,False,False,False,True
412185075,2,6,12,False,False,False,True
412185080,3,10,40,False,False,False,True
412185084,3,8,37,False,False,False,True
412185088,4,8,45,False,False,False,True
412185103,4,10,46,False,False,False,True
412185105,2,8,15,False,False,False,True
412185107,2,10,22,False,False,False,True
412185108,3,14,35,False,False,False,True
412185109,1,8,18,False,False,False,True
412185110,2,14,44,False,False,False,True
412185111,2,11,31,False,False,False,True
412185115,1,5,16,False,False,False,True
412185120,2,9,30,False,False,False,True
412185131,2,8,35,False,False,False,True
412185140,4,9,42,False,False,False,True
412185159,1,5,10,False,False,False,True
412185161,2,5,24,False,False,False,True
412185164,2,8,33,False,False,False,True
412189070,4,5,47,False,False,False,True
412189078,1,8,27,False,False,False,True
412189084,2,9,39,False,False,False,True
412189088,5,13,47,False,False,False,True
412189097,4,5,20,False,False,False,True
412189105,5,9,46,False,False,False,True
412189107,4,10,43,False,False,False,True
412189110,3,11,43,False,False,False,True
412189111,4,17,58,False,False,False,True
412189113,4,9,33,False,False,False,True
412189116,3,7,24,False,False,False,True
412189119,3,8,31,False,False,False,True
