YEAR,DISTRITO,cluster,centroid_x,centroid_y,n_puntos,centroid_lon,centroid_lat
2016,La Victoria,0,-8573014.73006591,-1355800.6802169338,17,-77.01270163000001,-12.088664651669175
2016,La Victoria,1,-8573522.655045917,-1355920.0956161765,22,-77.01726439772727,-12.089713588344967
2016,La Victoria,2,-8573743.547213862,-1355909.8861194472,12,-77.01924870583333,-12.0896239089868
2016,La Victoria,3,-8574282.726464935,-1355500.7893116784,11,-77.02409223545453,-12.086030412394956
2016,La Victoria,4,-8573441.547806606,-1355390.8681274268,10,-77.01653579900001,-12.085064859110767
2016,La Victoria,5,-8573311.283837644,-1355479.4582324491,14,-77.01536561785713,-12.085843039380393
2016,La Victoria,6,-8573989.318587538,-1355475.3082230208,17,-77.02145650764706,-12.08580658552385
2016,La Victoria,7,-8572463.700711673,-1354859.0371057375,11,-77.00775164909092,-12.080393179112646
2016,La Victoria,8,-8572626.113389593,-1354808.0978404426,10,-77.009210627,-12.07994571701917
2016,La Victoria,9,-8571372.10479283,-1353337.0134519062,18,-76.99794567611112,-12.06702305455712
2016,La Victoria,10,-8574205.61013176,-1352680.7245176574,34,-77.02339948764705,-12.06125771832766
2016,La Victoria,11,-8572187.006756349,-1355019.470287763,24,-77.00526606499999,-12.08180245578996
2016,La Victoria,12,-8571694.986740869,-1353591.9714311308,10,-77.00084617400002,-12.06926276400288
2016,La Victoria,13,-8571590.406610625,-1353525.4877494352,17,-76.99990671470589,-12.068678731801374
2016,La Victoria,14,-8573180.989356544,-1355192.463824239,42,-77.01419516261905,-12.083322056781531
2016,La Victoria,15,-8574354.638248792,-1354726.0391412731,14,-77.02473823000001,-12.079224893167014
2016,La Victoria,16,-8574455.414212238,-1355024.2479117534,17,-77.02564351588236,-12.081844423266551
2016,La Victoria,17,-8573741.919896338,-1354945.8732402977,23,-77.01923408739131,-12.081155965747007
2016,La Victoria,18,-8573524.949196052,-1355044.522109751,28,-77.01728500642857,-12.082022515259952
2016,La Victoria,19,-8574129.041786633,-1354764.1002852516,12,-77.0227116625,-12.079559231884303
2016,La Victoria,20,-8573736.25280014,-1352338.0311093668,10,-77.019183179,-12.058247192089615
2016,La Victoria,21,-8572097.555119326,-1355262.7649706847,11,-77.00446250727272,-12.083939590057703
2016,La Victoria,22,-8572284.978607288,-1355297.698670746,9,-77.00614616111112,-12.084246451127289
2016,La Victoria,23,-8572939.824467687,-1355261.7512220524,32,-77.0120287415625,-12.083930685184406
2016,La Victoria,24,-8572820.286870735,-1355370.3198725388,17,-77.01095491705883,-12.084884361806159
2016,La Victoria,25,-8574285.866787773,-1355021.3139616128,11,-77.02412044545456,-12.08181865094115
2016,La Victoria,26,-8574137.047296891,-1355016.2717792694,18,-77.02278357722221,-12.081774359533709
2016,La Victoria,27,-8573903.951580781,-1354419.2647558348,18,-77.02068964277778,-12.076530094115252
2016,La Victoria,28,-8572609.029595513,-1355217.996867322,15,-77.00905716066669,-12.083546342104418
2016,La Victoria,29,-8572485.254423106,-1355176.122034443,16,-77.007945269375,-12.083178508434866
2016,La Victoria,30,-8573959.945886226,-1353991.8753458,11,-77.02119264818182,-12.072775730976087
2016,La Victoria,31,-8573841.102698982,-1353779.4909442689,18,-77.02012506166668,-12.070910040075814
2016,La Victoria,32,-8573734.263910457,-1353486.5453312467,8,-77.0191653125,-12.06833663784767
2016,La Victoria,33,-8573990.570760828,-1354198.1924452393,18,-77.02146775611111,-12.074588111215357
2016,La Victoria,34,-8573745.810999386,-1354145.1971375393,17,-77.0192690417647,-12.07412257827002
2016,La Victoria,35,-8574631.45454268,-1354608.4481941569,13,-77.02722491307692,-12.078191941902258
2016,La Victoria,36,-8575099.90088655,-1353556.1422258012,11,-77.03143303818182,-12.068948019111813
2016,La Victoria,37,-8574997.315432457,-1353414.7991439747,19,-77.03051149736841,-12.067706374434756
2016,La Victoria,38,-8574707.440884573,-1354351.2770759743,23,-77.02790751,-12.075932866086738
2016,La Victoria,39,-8574489.350486955,-1354353.3833534569,16,-77.025948370625,-12.075951368399355
2016,La Victoria,40,-8574268.846106302,-1354264.4115533254,28,-77.02396754607145,-12.075169806416262
2016,La Victoria,41,-8575010.190610299,-1353218.0973207536,17,-77.03062715705882,-12.065978414907187
2016,La Victoria,42,-8574973.789711596,-1353833.0594049979,9,-77.03030016222223,-12.071380613475869
2016,La Victoria,43,-8575115.076532999,-1352806.3005956907,45,-77.03156936333333,-12.062360882756648
2016,La Victoria,44,-8571658.673042797,-1352946.7276569535,8,-77.00051996250001,-12.063594505164714
2016,La Victoria,45,-8574529.880629584,-1353668.0992591402,11,-77.0263124590909,-12.069931514558235
2016,La Victoria,46,-8574751.9258971,-1353684.9982178689,30,-77.02830712566667,-12.070079964489041
2016,La Victoria,47,-8574725.089048492,-1353974.6232067866,13,-77.02806604615385,-12.072624180035609
2016,La Victoria,48,-8574790.90138834,-1354037.202907931,13,-77.02865724846153,-12.073173909289874
2016,La Victoria,49,-8574840.484930594,-1353139.5278642515,18,-77.02910266500001,-12.065288205476726
2016,La Victoria,50,-8574640.652042659,-1353325.119945257,32,-77.027307535625,-12.06691857414129
2016,La Victoria,51,-8574800.02897861,-1353392.7753212848,10,-77.028739243,-12.067512903094823
2016,La Victoria,52,-8572099.296358561,-1353030.4183006585,11,-77.00447814909091,-12.06432970729313
2016,La Victoria,53,-8572026.418594765,-1352810.334176673,20,-77.003823477,-12.062396317002433
2016,La Victoria,54,-8571934.14931975,-1352936.9137257752,10,-77.00299460799998,-12.06350829201323
2016,La Victoria,55,-8571886.538134333,-1352872.378861804,18,-77.00256690944445,-12.062941367232519
2016,La Victoria,56,-8572044.021938391,-1353109.847179598,19,-77.00398161052631,-12.06502746898063
2016,La Victoria,57,-8572088.150039148,-1353175.1920500617,8,-77.00437802,-12.065601505018037
2016,La Victoria,58,-8574901.286523268,-1352649.4372191504,10,-77.02964885499999,-12.060982864039945
2016,La Victoria,59,-8574913.79760952,-1352545.2363752595,10,-77.02976124400001,-12.060067473013719
2016,La Victoria,60,-8574707.9876117,-1352739.7804762288,15,-77.02791242133334,-12.06177651541727
2016,La Victoria,61,-8574850.340106957,-1352881.4599076698,9,-77.02919119555557,-12.063021142323015
2016,La Victoria,62,-8574876.454762757,-1352751.2954565906,16,-77.0294257875,-12.061877672549196
2016,La Victoria,63,-8571820.899864392,-1353836.7720788734,12,-77.00197727083334,-12.071413227516006
2016,La Victoria,64,-8571930.503086936,-1353901.962530439,9,-77.00296185333333,-12.071985893382555
2016,La Victoria,65,-8573009.274854263,-1354800.8042301128,14,-77.01265262500002,-12.079881648225745
2016,La Victoria,66,-8572242.236166283,-1352719.2471710432,26,-77.00576219923076,-12.061596133750353
2016,La Victoria,67,-8573186.551271798,-1354810.3045097366,13,-77.01424512615387,-12.079965100919688
2016,La Victoria,68,-8573592.525738971,-1354602.814662138,19,-77.0178920568421,-12.07814245530548
2016,La Victoria,69,-8573550.342930043,-1354509.2770598282,9,-77.01751312222223,-12.077320792248475
2016,La Victoria,70,-8573449.854454638,-1354352.4626550516,18,-77.01661041888889,-12.075943280647603
2016,La Victoria,71,-8573277.489705173,-1354512.6218112556,30,-77.01506204,-12.077350173616828
2016,La Victoria,72,-8573014.433028402,-1354562.1140541597,18,-77.01269896166667,-12.077784928961377
2016,La Victoria,73,-8572290.751860265,-1353467.6787209876,16,-77.006198023125,-12.068170901878725
2016,La Victoria,74,-8572248.217309006,-1353423.758389004,16,-77.00581592875001,-12.067785078131427
2016,La Victoria,75,-8573632.337001702,-1352593.775787674,12,-77.0182496875,-12.060493885904377
2016,La Victoria,76,-8573490.655398093,-1353593.7626873958,33,-77.01697694,-12.069278499445664
2016,La Victoria,77,-8572248.335137594,-1353809.3739137044,18,-77.00581698722223,-12.071172547823844
2016,La Victoria,78,-8572285.655423282,-1353210.8169480606,19,-77.00615224105263,-12.065914459061709
2016,La Victoria,79,-8572486.277804235,-1353273.4938526046,156,-77.0079544625641,-12.066465055982029
2016,La Victoria,80,-8572483.32272845,-1353118.9940475866,12,-77.00792791666666,-12.065107821679359
2016,La Victoria,81,-8572337.250815276,-1353017.6423371856,29,-77.00661573034482,-12.064217473664522
2016,La Victoria,82,-8573409.352287466,-1354054.7021886413,52,-77.01624658173077,-12.07332763092368
2016,La Victoria,83,-8572839.31963796,-1354266.8103274002,38,-77.0111258913158,-12.075190878185994
2016,La Victoria,84,-8572849.087169606,-1354045.227239989,22,-77.01121363454544,-12.073244398680052
2016,La Victoria,85,-8572735.298681062,-1354417.8920078515,31,-77.01019145516129,-12.076518035420523
2016,La Victoria,86,-8572409.264240332,-1353555.895484036,39,-77.00726263794871,-12.068945851585209
2016,La Victoria,87,-8572607.36705747,-1354040.4104919618,24,-77.00904222583335,-12.073202086172195
2016,La Victoria,88,-8572399.44430848,-1354180.965202981,10,-77.007174424,-12.07443678000373
2016,La Victoria,89,-8572505.733742956,-1354222.6889305543,17,-77.0081292382353,-12.07480329831328
2016,La Victoria,90,-8573286.36557924,-1353875.8305156291,9,-77.01514177333335,-12.071756336707242
2016,La Victoria,91,-8573237.348391546,-1354070.4229427406,9,-77.01470144444444,-12.073465729096334
2016,La Victoria,92,-8573036.682121068,-1353944.8045925505,30,-77.01289882866666,-12.072362239037158
2016,La Victoria,93,-8573163.747902261,-1353969.3290777456,13,-77.01404028000002,-12.072577673887528
2016,La Victoria,94,-8573507.827799633,-1353312.8554584617,26,-77.0171312023077,-12.06681083474825
2016,La Victoria,95,-8572586.284216942,-1352649.5616789295,11,-77.00885283545455,-12.06098395740124
2016,La Victoria,96,-8572711.613699049,-1352772.52494401,46,-77.00997868934782,-12.062064169863152
2016,La Victoria,97,-8573524.973991143,-1353030.9118888767,12,-77.01728522916666,-12.064334043340656
2016,La Victoria,98,-8572858.269903157,-1353883.4614046488,54,-77.01129612444443,-12.07182337026961
2016,La Victoria,99,-8573545.332388833,-1352731.9655969208,34,-77.01746811176473,-12.061707863018164
2016,La Victoria,100,-8573297.028578969,-1352754.7415127847,29,-77.01523756068966,-12.061907945555724
2016,La Victoria,101,-8573234.966865651,-1353167.82600893,36,-77.01468005083335,-12.065536796510465
2016,La Victoria,102,-8573279.44038658,-1353000.4791736414,52,-77.01507956326923,-12.064066699511779
2016,La Victoria,103,-8572894.532227285,-1352667.2591041843,9,-77.01162187444446,-12.061139426697352
2016,La Victoria,104,-8572631.355225975,-1353547.0860125131,23,-77.00925771521739,-12.068868463929512
2016,La Victoria,105,-8572641.535860322,-1353431.714346879,17,-77.00934916941176,-12.067854968297342
2016,La Victoria,106,-8572602.268865984,-1353694.8813515448,50,-77.008996428,-12.070166783439847
2016,La Victoria,107,-8572708.72648139,-1353761.6660177994,33,-77.00995275303029,-12.07075345640779
2016,La Victoria,108,-8573113.727880565,-1352958.5166620584,16,-77.0135909425,-12.063698068854421
2016,La Victoria,109,-8572664.399905592,-1353233.0523994663,16,-77.00955456062499,-12.06610979064785
2016,La Victoria,110,-8573005.789093133,-1352982.4665424868,32,-77.01262131187501,-12.063908462904692
2016,La Victoria,111,-8573026.83751625,-1352882.6528789585,13,-77.01281039307693,-12.06303162232476
