longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.0207767,-12.14700936,2017,Barranco,ROBO AGRAVADO,848433938.0,-8573913.64274643,-1362443.6017746069,47,0.6519325256542519
-77.0223659,-12.14640046,2017,Barranco,ROBO AGRAVADO,946276441.0,-8574090.551681198,-1362374.2670741922,50,1.0
-77.01974235,-12.14609389,2017,Barranco,ROBO AGRAVADO,742357306.0,-8573798.499431128,-1362339.3583821948,45,0.5342204167417371
-77.01953294,-12.14647243,2017,Barranco,ROBO AGRAVADO,414072557.0,-8573775.188016562,-1362382.462202056,45,1.0
-77.02086093,-12.13813411,2017,Barranco,ROBO AGRAVADO,1065245152.0,-8573923.01918714,-1361433.0035682146,-1,0.0
-77.01962846,-12.15139284,2017,Barranco,ROBO AGRAVADO,2081248605.0,-8573785.821254322,-1362942.7479774517,31,0.7559943364312971
-77.02054452,-12.14685565,2017,Barranco,ROBO AGRAVADO,884326171.0,-8573887.796587057,-1362426.0989893996,47,1.0
-77.02153559,-12.14435031,2017,Barranco,ROBO AGRAVADO,1195316319.0,-8573998.121994797,-1362140.8201598115,41,0.9054687038143933
-77.01811575,-12.13153883,2017,Barranco,ROBO AGRAVADO,707365663.0,-8573617.427147403,-1360682.0405425227,0,1.0
-77.0184225,-12.1499335,2017,Barranco,ROBO AGRAVADO,1209239334.0,-8573651.574401204,-1362776.5722400597,-1,0.0
-77.0156416,-12.1426185,2017,Barranco,ROBO AGRAVADO,179952367.0,-8573342.006029256,-1361943.6234525049,-1,0.0
-77.01811895,-12.13151366,2017,Barranco,ROBO AGRAVADO,1884389075.0,-8573617.783369774,-1360679.174628631,0,1.0
-77.02019374,-12.13951017,2017,Barranco,ROBO AGRAVADO,779624316.0,-8573848.747936076,-1361589.6892039524,5,0.5724555905392125
-77.02381186,-12.14235212,2017,Barranco,ROBO AGRAVADO,599793131.0,-8574251.515212106,-1361913.2915674807,14,0.32633493155052934
-77.02257044,-12.15189154,2017,Barranco,ROBO AGRAVADO,203619426.0,-8574113.320969844,-1362999.535391714,24,0.3114869803592453
-77.01469261,-12.13851962,2017,Barranco,ROBO AGRAVADO,2086375393.0,-8573236.36494569,-1361476.8997407125,2,1.0
-77.01888781,-12.1532762,2017,Barranco,ROBO AGRAVADO,2007989198.0,-8573703.372473465,-1363157.208420227,-1,0.0
-77.01727299,-12.13630241,2017,Barranco,ROBO AGRAVADO,421521069.0,-8573523.611533342,-1361224.4375528733,6,1.0
-77.0196032,-12.1465718,2017,Barranco,ROBO AGRAVADO,179053723.0,-8573783.009323984,-1362393.7773349981,45,1.0
-77.01648339,-12.13699361,2017,Barranco,ROBO AGRAVADO,1755305653.0,-8573435.713663412,-1361303.1406817895,8,0.8796085167152591
-77.022219,-12.1426863,2017,Barranco,ROBO AGRAVADO,723645595.0,-8574074.198848002,-1361951.3436383107,-1,0.0
-77.01811603,-12.14055831,2017,Barranco,ROBO AGRAVADO,1418752690.0,-8573617.45831686,-1361709.0366376133,-1,0.0
-77.02257056,-12.1560065,2017,Barranco,ROBO AGRAVADO,1915906430.0,-8574113.334328186,-1363468.1136237008,-1,0.0
-77.01840968,-12.14070499,2017,Barranco,ROBO AGRAVADO,577210620.0,-8573650.147285333,-1361725.7385293788,-1,0.0
-77.02485423,-12.14138713,2017,Barranco,ROBO AGRAVADO,505215447.0,-8574367.551309723,-1361803.4113285057,13,1.0
-77.01972349,-12.14238548,2017,Barranco,ROBO AGRAVADO,1611278572.0,-8573796.399945533,-1361917.090168133,-1,0.0
-77.02241047,-12.15183736,2017,Barranco,ROBO AGRAVADO,56814082.0,-8574095.513190903,-1362993.365861587,-1,0.0
-77.02157541,-12.13892542,2017,Barranco,ROBO AGRAVADO,1939602779.0,-8574002.554736922,-1361523.106306706,5,0.5680981242577087
-77.01855748,-12.15251114,2017,Barranco,ROBO AGRAVADO,1697112018.0,-8573666.600306071,-1363070.0899451869,-1,0.0
-77.02251506,-12.15042304,2017,Barranco,ROBO AGRAVADO,1175496668.0,-8574107.156096445,-1362832.3162902824,-1,0.0
-77.02077932,-12.14706625,2017,Barranco,ROBO AGRAVADO,20717264.0,-8573913.934403496,-1362450.079777628,-1,0.0
-77.01950108,-12.1448417,2017,Barranco,ROBO AGRAVADO,45173754.0,-8573771.641377583,-1362196.7736965993,-1,0.0
-77.02044367,-12.15037893,2017,Barranco,ROBO AGRAVADO,97627068.0,-8573876.57001641,-1362827.2934686274,38,1.0
-77.02095073,-12.14906857,2017,Barranco,ROBO AGRAVADO,154298317.0,-8573933.015677413,-1362678.0826811576,38,1.0
-77.01635143,-12.14702695,2017,Barranco,ROBO AGRAVADO,184646828.0,-8573421.023943407,-1362445.604728812,17,1.0
