longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-76.997246,-12.067168,2023,La Victoria,ROBO,57781.0,-8571294.217204422,-1353353.5132942658,2,0.22725860040948845
-76.997246,-12.067168,2023,La Victoria,ROBO,99336.0,-8571294.217204422,-1353353.5132942658,2,0.22725860040948845
-76.997246,-12.067168,2023,La Victoria,ROBO,121184.0,-8571294.217204422,-1353353.5132942658,2,0.22725860040948845
-76.99781176,-12.06717639,2023,La Victoria,HURTO,89655.0,-8571357.197319532,-1353354.4683689084,2,0.23783893096269976
-76.99781176,-12.06717639,2023,La Victoria,HURTO AGRAVADO,99320.0,-8571357.197319532,-1353354.4683689084,2,0.23783893096269976
-76.9980539,-12.0660767,2023,La Victoria,HURTO AGRAVADO,99319.0,-8571384.152221031,-1353229.285544707,2,0.22725860040948845
-76.9980539,-12.0660767,2023,La Victoria,HURTO AGRAVADO,99331.0,-8571384.152221031,-1353229.285544707,2,0.22725860040948845
-77.01036085,-12.06154628,2023,La Victoria,ROBO AGRAVADO,35026.0,-8572754.15562825,-1352713.5721939302,-1,0.0
-77.01206874,-12.06147784,2023,La Victoria,ROBO AGRAVADO A MANO ARMADA,62973.0,-8572944.277073381,-1352705.781499246,-1,0.0
-77.00567328,-12.06214814,2023,La Victoria,ROBO,26122.0,-8572232.337722793,-1352782.0834938092,-1,0.0
-77.00364871,-12.06241331,2023,La Victoria,ROBO,87556.0,-8572006.963621316,-1352812.2685381086,-1,0.0
-77.01002333,-12.06075326,2023,La Victoria,ROBO,104467.0,-8572716.583073718,-1352623.300885464,-1,0.0
-77.00569207,-12.06134138,2023,La Victoria,ROBO,50457.0,-8572234.429416023,-1352690.247925452,-1,0.0
-77.01161242,-12.06114725,2023,La Victoria,ROBO,9236.0,-8572893.479763344,-1352668.1496488752,-1,0.0
-77.00983473,-12.06193256,2023,La Victoria,ROBO,102047.0,-8572695.588217754,-1352757.5434401974,-1,0.0
-77.0070298,-12.0605913,2023,La Victoria,ROBO,122350.0,-8572383.344838442,-1352604.8646353255,-1,0.0
-77.0025098,-12.0628813,2023,La Victoria,HURTO,87537.0,-8571880.180740058,-1352865.541224293,-1,0.0
-77.0102389,-12.0607232,2023,La Victoria,HURTO,11943.0,-8572740.58021635,-1352619.8790910987,-1,0.0
-77.0102389,-12.0607232,2023,La Victoria,HURTO,12192.0,-8572740.58021635,-1352619.8790910987,-1,0.0
-77.01031147,-12.0615407,2023,La Victoria,HURTO,4520.0,-8572748.658671796,-1352712.9370086384,-1,0.0
-77.01140971,-12.06105243,2023,La Victoria,HURTO,62828.0,-8572870.914189363,-1352657.3560700556,-1,0.0
-77.00865611,-12.06083964,2023,La Victoria,HURTO,61940.0,-8572564.384839516,-1352633.133708534,-1,0.0
-77.00591861,-12.06300949,2023,La Victoria,HURTO,32832.0,-8572259.647733469,-1352880.1334874488,-1,0.0
-77.00971146,-12.06122318,2023,La Victoria,HURTO,54980.0,-8572681.865864124,-1352676.7929382718,-1,0.0
-77.00935038,-12.06300066,2023,La Victoria,HURTO,62796.0,-8572641.67062239,-1352879.1283410853,-1,0.0
