longitude,latitude,YEAR,DISTRITO,MODALIDAD,ID,x,y,cluster,probability
-77.04924544,-12.08822692,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,81621.0,-8577082.768386755,-1355750.8471259628,-1,0.0
-77.05070663,-12.09197201,2023,San Isidro,ROBO,90726.0,-8577245.427313507,-1356177.2055038644,0,0.9350524408184643
-77.03901655,-12.09131451,2023,San Isidro,ROBO,57308.0,-8575944.093560575,-1356102.3522289218,0,0.6228810577844077
-77.05051693,-12.08987393,2023,San Isidro,HURTO,81617.0,-8577224.310006104,-1355938.3496313817,0,0.5867911067103639
-77.05134702,-12.08973553,2023,San Isidro,HURTO,98135.0,-8577316.715202216,-1355922.5935522306,0,0.6743671025333982
-77.03791889,-12.09153977,2023,San Isidro,HURTO,2519.0,-8575821.90260831,-1356127.9969971164,-1,0.0
-77.05157533,-12.08996068,2023,San Isidro,HURTO,125452.0,-8577342.130555162,-1355948.2256461345,0,0.74879416578048
-77.05157484,-12.09009863,2023,San Isidro,HURTO,127151.0,-8577342.07600861,-1355963.9305084664,0,0.7331626831103728
-77.05497036,-12.09191096,2023,San Isidro,HURTO,113076.0,-8577720.063565988,-1356170.2552414604,0,0.5772684042000471
-77.05066537,-12.08979051,2023,San Isidro,HURTO AGRAVADO,81593.0,-8577240.83427132,-1355928.8527220048,0,0.5938617487367605
-77.03901655,-12.09131451,2023,San Isidro,HURTO AGRAVADO,122772.0,-8575944.093560575,-1356102.3522289218,0,0.6228810577844077
-77.05245522,-12.09181458,2023,San Isidro,HURTO AGRAVADO,76407.0,-8577440.079461914,-1356159.2828238779,0,1.0
-77.04423343,-12.09248459,2023,San Isidro,HURTO DE VEHICULO,83090.0,-8576524.833985707,-1356235.560447744,0,0.664709571481138
-77.00783761,-12.08960292,2023,San Isidro,ROBO AGRAVADO,54438.0,-8572473.269836301,-1355907.496640395,1,0.633373437607367
-77.01936457,-12.09053541,2023,San Isidro,ROBO,89679.0,-8573756.445153896,-1356013.6556055201,-1,0.0
-77.00870574,-12.0897419,2023,San Isidro,ROBO,87895.0,-8572569.909625843,-1355923.3187415323,1,0.9442358575028899
-77.03358038,-12.0906297,2023,San Isidro,ROBO,91328.0,-8575338.941884309,-1356024.390034881,-1,0.0
-77.00967938,-12.08896016,2023,San Isidro,ROBO,39956.0,-8572678.29473486,-1355834.3220910586,1,1.0
-77.0093111,-12.08914551,2023,San Isidro,ROBO,121403.0,-8572637.29799279,-1355855.4231102944,1,1.0
-77.02205503,-12.09070228,2023,San Isidro,ROBO,85997.0,-8574055.945791095,-1356032.652895481,1,0.26467649176095476
-77.00972022,-12.08896563,2023,San Isidro,ROBO,88182.0,-8572682.841022864,-1355834.944818528,1,1.0
-77.0174089,-12.09005354,2023,San Isidro,ROBO,116912.0,-8573538.740965337,-1355958.797254639,-1,0.0
-77.03357488,-12.09067154,2023,San Isidro,ROBO,108919.0,-8575338.329627112,-1356029.1533039296,-1,0.0
-77.00870574,-12.0897419,2023,San Isidro,ROBO,87906.0,-8572569.909625843,-1355923.3187415323,1,0.9442358575028899
-77.03358038,-12.0906297,2023,San Isidro,ROBO,107952.0,-8575338.941884309,-1356024.390034881,-1,0.0
-77.00832804,-12.08877917,2023,San Isidro,ROBO,51494.0,-8572527.864254171,-1355813.717446567,1,1.0
-77.00832804,-12.08877917,2023,San Isidro,ROBO,13831.0,-8572527.864254171,-1355813.717446567,1,1.0
-77.01072877,-12.08910305,2023,San Isidro,ROBO,135.0,-8572795.112295302,-1355850.5892850116,1,0.5914237683323639
-77.01681897,-12.08997446,2023,San Isidro,ROBO,113787.0,-8573473.070258133,-1355949.7944243334,1,0.26467649176095476
-77.01936747,-12.09067444,2023,San Isidro,HURTO,94551.0,-8573756.76798042,-1356029.4834540586,-1,0.0
-77.00972022,-12.08896563,2023,San Isidro,HURTO,115151.0,-8572682.841022864,-1355834.944818528,1,1.0
-77.03384655,-12.09008546,2023,San Isidro,HURTO,67482.0,-8575368.571793174,-1355962.4311747567,-1,0.0
-77.00967938,-12.08896016,2023,San Isidro,HURTO,115565.0,-8572678.29473486,-1355834.3220910586,1,1.0
-77.00904846,-12.08887566,2023,San Isidro,HURTO,84993.0,-8572608.06104173,-1355824.7022624842,1,1.0
-77.00904846,-12.08887566,2023,San Isidro,HURTO,115341.0,-8572608.06104173,-1355824.7022624842,1,1.0
-77.03358038,-12.0906297,2023,San Isidro,HURTO,53752.0,-8575338.941884309,-1356024.390034881,-1,0.0
-77.01524046,-12.09067337,2023,San Isidro,HURTO DE VEHICULO,29179.0,-8573297.35132872,-1356029.3616400447,-1,0.0
-77.01538102,-12.09036571,2023,San Isidro,HURTO DE VEHICULO,87893.0,-8573312.998396348,-1355994.3361467926,1,0.2663170527369184
-77.04081423,-12.09995646,2023,San Isidro,ROBO AGRAVADO,69338.0,-8576144.210382784,-1357086.2121797523,-1,0.0
-77.0310026,-12.09235132,2023,San Isidro,ROBO AGRAVADO,13650.0,-8575051.984727332,-1356220.3882426524,4,1.0
-77.0113642,-12.10407104,2023,San Isidro,ROBO AGRAVADO,43876.0,-8572865.848039338,-1357554.655884655,-1,0.0
-77.01443387,-12.09314932,2023,San Isidro,ROBO AGRAVADO,78669.0,-8573207.562140642,-1356311.237156217,1,0.2810493690685525
-77.02933549,-12.09305135,2023,San Isidro,ROBO AGRAVADO,48979.0,-8574866.402891034,-1356300.0836728697,4,0.9607440869627234
-77.03515501,-12.09876673,2023,San Isidro,ROBO AGRAVADO,67015.0,-8575514.228894098,-1356950.7631185956,-1,0.0
-77.0246911,-12.0914281,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,37308.0,-8574349.391761191,-1356115.2839017054,-1,0.0
-77.0218005,-12.1012599,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,113118.0,-8574027.611641103,-1357234.607654152,-1,0.0
-77.04030443,-12.09380546,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,98602.0,-8576087.45970638,-1356385.9361138807,0,0.8111943583039373
-77.02966695,-12.09195842,2023,San Isidro,ROBO,108804.0,-8574903.300849456,-1356175.6583445768,4,1.0
-77.03621389,-12.10469905,2023,San Isidro,ROBO,23045.0,-8575632.102876509,-1357626.1552702473,2,1.0
-77.05505561,-12.09821724,2023,San Isidro,ROBO,37018.0,-8577729.553552577,-1356888.2046704902,0,0.6037054591156216
-77.0539835,-12.1067715,2023,San Isidro,ROBO,90105.0,-8577610.206813304,-1357862.1063707385,-1,0.0
-77.03079178,-12.0988381,2023,San Isidro,ROBO,76220.0,-8575028.516352285,-1356958.8884741545,4,0.9012813081425441
-77.05617139,-12.09901804,2023,San Isidro,HURTO,11157.0,-8577853.761614015,-1356979.3743529108,0,0.647051046236004
-77.02647298,-12.09542082,2023,San Isidro,HURTO,51653.0,-8574547.749735445,-1356569.8392759757,3,0.8378876102651047
-77.02289486,-12.09717855,2023,San Isidro,HURTO,122083.0,-8574149.435239049,-1356769.9520336296,-1,0.0
-77.0306041,-12.09774203,2023,San Isidro,HURTO,94442.0,-8575007.623910252,-1356834.1029704735,4,1.0
-77.04830107,-12.09404523,2023,San Isidro,HURTO,81589.0,-8576977.641599234,-1356413.2330308242,0,0.9306149779317388
-77.02730177,-12.10103222,2023,San Isidro,HURTO,112689.0,-8574640.01021622,-1357208.686438282,-1,0.0
-77.03850403,-12.10879518,2023,San Isidro,HURTO,86779.0,-8575887.040095154,-1358092.5067105494,-1,0.0
-77.05391991,-12.093926,2023,San Isidro,HURTO,81631.0,-8577603.128006885,-1356399.65913859,0,1.0
-77.0260678,-12.10185531,2023,San Isidro,HURTO,87857.0,-8574502.645304166,-1357302.3947892091,-1,0.0
-77.01167022,-12.09733383,2023,San Isidro,HURTO,98181.0,-8572899.914029911,-1356787.6303005926,-1,0.0
-77.025878,-12.09484363,2023,San Isidro,HURTO AGRAVADO,103987.0,-8574481.516864814,-1356504.1280585378,3,1.0
-77.03621071,-12.09701861,2023,San Isidro,HURTO AGRAVADO,73182.0,-8575631.74888053,-1356751.7432472385,-1,0.0
-77.02971322,-12.09935672,2023,San Isidro,HURTO AGRAVADO,84750.0,-8574908.451602293,-1357017.9325620255,-1,0.0
-77.03631517,-12.1016649,2023,San Isidro,HURTO AGRAVADO,99312.0,-8575643.377314536,-1357280.7166881238,2,0.08769012626697446
-77.04809866,-12.09735994,2023,San Isidro,HURTO AGRAVADO,93944.0,-8576955.109421102,-1356790.6028643928,0,0.748491404353347
-77.05180283,-12.09415362,2023,San Isidro,HURTO AGRAVADO,54554.0,-8577367.455739316,-1356425.5728346077,0,1.0
-77.05878962,-12.10066343,2023,San Isidro,HURTO AGRAVADO,111409.0,-8578145.221644394,-1357166.6999900544,0,0.647051046236004
-77.0320893,-12.09377728,2023,San Isidro,HURTO AGRAVADO,106353.0,-8575172.955617977,-1356382.727927977,4,1.0
-77.02830732,-12.09577226,2023,San Isidro,HURTO AGRAVADO,16090.0,-8574751.947530188,-1356609.8496544661,3,0.8378876102651047
-77.03621389,-12.10469905,2023,San Isidro,HURTO AGRAVADO,49855.0,-8575632.102876509,-1357626.1552702473,2,1.0
-77.02869967,-12.10082374,2023,San Isidro,HURTO DE VEHICULO,97076.0,-8574795.6237324,-1357184.9511489514,-1,0.0
-77.04915918,-12.1039119,2023,San Isidro,HURTO DE VEHICULO,32790.0,-8577073.16596748,-1357536.5377090499,-1,0.0
-77.03061913,-12.1004246,2023,San Isidro,HURTO DE VEHICULO,45875.0,-8575009.297042198,-1357139.5094153895,4,0.9012813081425441
-77.05713505,-12.09862486,2023,San Isidro,HURTO DE VEHICULO,61419.0,-8577961.035754513,-1356934.6114619689,0,0.647051046236004
-77.01270718,-12.10346136,2023,San Isidro,HURTO DE VEHICULO,51659.0,-8573015.347889084,-1357485.2435433923,-1,0.0
-77.0480707,-12.10329513,2023,San Isidro,HURTO DE VEHICULO,72558.0,-8576951.99692814,-1357466.3182108663,0,0.5102021987210611
-77.05193827,-12.1027667,2023,San Isidro,ASALTO Y ROBO DE VEHICULOS,70598.0,-8577382.532851147,-1357406.1563840858,0,0.506622766560304
-77.03169639,-12.10190823,2023,San Isidro,ASALTO Y ROBO DE VEHICULOS,103924.0,-8575129.21707685,-1357308.4197124364,4,0.8872206526575224
-77.02971322,-12.09935672,2023,San Isidro,HURTO AGRAVADO EN CASA HABITADA,61741.0,-8574908.451602293,-1357017.9325620255,4,0.7796217330653529
-77.04455888,-12.09674304,2023,San Isidro,HURTO AGRAVADO EN CASA HABITADA,79580.0,-8576561.062913984,-1356720.370287513,0,0.7912808155034589
-77.03065644,-12.09974164,2023,San Isidro,HURTO AGRAVADO EN CASA HABITADA,5568.0,-8575013.4503724,-1357061.7551849836,4,0.8235117887621726
-77.03597132,-12.10186891,2023,San Isidro,ROBO AGRAVADO DURANTE LA NOCHE O EN LUGAR DESOLADO,24024.0,-8575605.100107627,-1357303.9431442702,-1,0.0
-77.02953248,-12.09177646,2023,San Isidro,HURTO,90639.0,-8574888.331717527,-1356154.943039139,4,1.0
-77.02953248,-12.09177646,2023,San Isidro,HURTO,87883.0,-8574888.331717527,-1356154.943039139,4,1.0
-77.0281155,-12.091626,2023,San Isidro,HURTO,118039.0,-8574730.594225463,-1356137.813873833,4,0.8634669570151982
-77.030285,-12.0917823,2023,San Isidro,HURTO,43510.0,-8574972.101860741,-1356155.6078959433,4,1.0
-77.02737741,-12.09172093,2023,San Isidro,HURTO,84938.0,-8574648.430422504,-1356148.621207966,-1,0.0
-77.02953248,-12.09177646,2023,San Isidro,HURTO,92372.0,-8574888.331717527,-1356154.943039139,4,1.0
-77.05753762,-12.09509017,2023,San Isidro,ROBO AGRAVADO,81647.0,-8578005.849641923,-1356532.19582397,0,0.647051046236004
-77.05878025,-12.09756191,2023,San Isidro,ROBO AGRAVADO,81646.0,-8578144.178580765,-1356813.5966969067,0,0.647051046236004
-77.0599375,-12.10465511,2023,San Isidro,ROBO,81627.0,-8578273.003061488,-1357621.1526644963,-1,0.0
-77.0586215,-12.096481,2023,San Isidro,HURTO,21445.0,-8578126.506611602,-1356690.5377146627,0,0.6167214775781082
-77.05617937,-12.10724868,2023,San Isidro,HURTO,81596.0,-8577854.649943551,-1357916.4341873177,-1,0.0
-77.05917959,-12.10257725,2023,San Isidro,HURTO,81620.0,-8578188.63290622,-1357384.587505006,0,0.5627462747688786
-77.06014209,-12.10237519,2023,San Isidro,HURTO,81614.0,-8578295.777916107,-1357361.5829945058,-1,0.0
-77.05764868,-12.10587702,2023,San Isidro,HURTO,117375.0,-8578018.21278457,-1357760.26844668,-1,0.0
-77.06025836,-12.09988545,2023,San Isidro,HURTO,83496.0,-8578308.721033303,-1357078.12777576,0,0.6078215715895459
-77.05795167,-12.09600989,2023,San Isidro,HURTO,43109.0,-8578051.941477085,-1356636.9031393144,0,0.6037054591156216
-77.05634614,-12.09862723,2023,San Isidro,HURTO,81605.0,-8577873.214695033,-1356934.881282342,0,0.647051046236004
-77.05651864,-12.1042704,2023,San Isidro,HURTO AGRAVADO,5528.0,-8577892.417307192,-1357577.3531443744,0,0.5593963008935986
-77.05647072,-12.10162608,2023,San Isidro,HURTO AGRAVADO,66601.0,-8577887.082877193,-1357276.297048801,0,0.6347611438025722
-77.05831159,-12.09686708,2023,San Isidro,HURTO AGRAVADO,2731.0,-8578092.007588211,-1356734.4919292792,0,0.647051046236004
-77.0304626,-12.1032878,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,87842.0,-8574991.872202305,-1357465.4836885643,-1,0.0
-77.0113642,-12.10407104,2023,San Isidro,ROBO,11032.0,-8572865.848039338,-1357554.655884655,-1,0.0
-77.0482885,-12.1093213,2023,San Isidro,ROBO,50740.0,-8576976.242313236,-1358152.406895081,-1,0.0
-77.03458104,-12.1063713,2023,San Isidro,ROBO,38423.0,-8575450.334845968,-1357816.5429429202,-1,0.0
-77.03707494,-12.10383582,2023,San Isidro,ROBO,117218.0,-8575727.954524055,-1357527.8759634611,2,0.15148336123737252
-77.03850403,-12.10879518,2023,San Isidro,ROBO,81643.0,-8575887.040095154,-1358092.5067105494,-1,0.0
-77.04488289,-12.1094762,2023,San Isidro,ROBO,81598.0,-8576597.131542195,-1358170.0427013882,-1,0.0
-77.01652147,-12.10546822,2023,San Isidro,ROBO,87901.0,-8573439.952709623,-1357713.7260513268,-1,0.0
-77.0360748,-12.10323477,2023,San Isidro,ROBO,26452.0,-8575616.619448533,-1357459.4462107054,2,0.16140956130127077
-77.0404386,-12.10685353,2023,San Isidro,ROBO,105823.0,-8576102.395442458,-1357871.4456295029,-1,0.0
-77.01652147,-12.10546822,2023,San Isidro,ROBO,88528.0,-8573439.952709623,-1357713.7260513268,-1,0.0
-77.04539177,-12.10290493,2023,San Isidro,HURTO,60886.0,-8576653.77980467,-1357421.89387674,-1,0.0
-77.0304626,-12.1032878,2023,San Isidro,HURTO,100617.0,-8574991.872202305,-1357465.4836885643,-1,0.0
-77.03916212,-12.10625342,2023,San Isidro,HURTO,81601.0,-8575960.29833885,-1357803.122124172,-1,0.0
-77.0364325,-12.1047436,2023,San Isidro,HURTO,37117.0,-8575656.438430391,-1357631.2273258471,2,1.0
-77.04350148,-12.10940722,2023,San Isidro,HURTO,84425.0,-8576443.35368442,-1358162.1891306029,-1,0.0
-77.0364325,-12.1047436,2023,San Isidro,HURTO,82642.0,-8575656.438430391,-1357631.2273258471,2,1.0
-77.03774501,-12.10438883,2023,San Isidro,HURTO,80618.0,-8575802.546375252,-1357590.836481389,2,0.14292030782337603
-77.03621389,-12.10469905,2023,San Isidro,HURTO,87922.0,-8575632.102876509,-1357626.1552702473,2,1.0
-77.04058057,-12.10599032,2023,San Isidro,HURTO,81609.0,-8576118.199470567,-1357773.167807119,-1,0.0
-77.03997978,-12.10550013,2023,San Isidro,HURTO,81634.0,-8576051.31983369,-1357717.3590424906,-1,0.0
-77.0364325,-12.1047436,2023,San Isidro,HURTO,87887.0,-8575656.438430391,-1357631.2273258471,2,1.0
-77.05327982,-12.10823025,2023,San Isidro,HURTO,92225.0,-8577531.873514023,-1358028.188033968,-1,0.0
-77.03621389,-12.10469905,2023,San Isidro,HURTO,75576.0,-8575632.102876509,-1357626.1552702473,2,1.0
-77.0364325,-12.1047436,2023,San Isidro,HURTO,19930.0,-8575656.438430391,-1357631.2273258471,2,1.0
-77.03923515,-12.106253,2023,San Isidro,HURTO,31881.0,-8575968.428001262,-1357803.0743065397,-1,0.0
-77.03917283,-12.10625335,2023,San Isidro,HURTO,81553.0,-8575961.490570597,-1357803.1141545663,-1,0.0
-77.03621389,-12.10469905,2023,San Isidro,HURTO AGRAVADO,89818.0,-8575632.102876509,-1357626.1552702473,2,1.0
-77.04167045,-12.10502473,2023,San Isidro,HURTO DE VEHICULO,81637.0,-8576239.52435719,-1357663.2342362867,-1,0.0
-77.04167045,-12.10502473,2023,San Isidro,HURTO DE VEHICULO,8103.0,-8576239.52435719,-1357663.2342362867,-1,0.0
-77.01205183,-12.09598369,2023,San Isidro,ROBO AGRAVADO,124396.0,-8572942.394660793,-1356633.920344282,-1,0.0
-77.00861801,-12.09129528,2023,San Isidro,ROBO,87896.0,-8572560.143566918,-1356100.1629868583,1,0.5473975131593306
-77.01019359,-12.09416679,2023,San Isidro,HURTO,88273.0,-8572735.53633022,-1356427.072191124,1,0.29973784111285434
-77.00956523,-12.09282768,2023,San Isidro,HURTO,87884.0,-8572665.587614987,-1356274.619774532,1,0.38896748853931856
-77.01198655,-12.09609064,2023,San Isidro,HURTO DE VEHICULO,55410.0,-8572935.127724433,-1356646.0962975943,-1,0.0
-77.009056,-12.09209845,2023,San Isidro,HURTO DE VEHICULO,106528.0,-8572608.900390688,-1356191.6001228066,1,0.47915776866382176
-77.01162384,-12.09679566,2023,San Isidro,HURTO DE VEHICULO,87892.0,-8572894.751031928,-1356726.360941258,-1,0.0
-77.03306101,-12.09447773,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,55507.0,-8575281.125880377,-1356462.471598695,4,1.0
-77.03980326,-12.09345531,2023,San Isidro,ROBO AGRAVADO A MANO ARMADA,78883.0,-8576031.669717178,-1356346.0728911061,0,0.7318485742338592
-77.03056534,-12.10221606,2023,San Isidro,ROBO,96904.0,-8575003.309166787,-1357343.4660723952,4,0.8701715943609183
-77.03408369,-12.10221672,2023,San Isidro,ROBO,87083.0,-8575394.970097221,-1357343.5412132542,2,0.0871196285584493
-77.0279649,-12.0926295,2023,San Isidro,ROBO,39880.0,-8574713.82951015,-1356252.0578243735,4,0.8307956255837108
-77.03129286,-12.10225413,2023,San Isidro,ROBO,120598.0,-8575084.29632273,-1357347.8003341218,4,0.8872206526575224
-77.04435531,-12.09401907,2023,San Isidro,ROBO,81642.0,-8576538.401605243,-1356410.2548115614,0,0.9306149779317388
-77.0381738,-12.0964757,2023,San Isidro,ROBO,23652.0,-8575850.27905971,-1356689.9343237414,-1,0.0
-77.033793,-12.10069468,2023,San Isidro,ROBO,87900.0,-8575362.610634442,-1357170.2577754564,-1,0.0
-77.0321452,-12.0924793,2023,San Isidro,ROBO,95470.0,-8575179.178377513,-1356234.9582042969,4,1.0
-77.0274305,-12.09649152,2023,San Isidro,ROBO,19839.0,-8574654.340374269,-1356691.7353887544,-1,0.0
-77.045616,-12.0939321,2023,San Isidro,ROBO,65498.0,-8576678.740974091,-1356400.3536007649,0,0.9306149779317388
-77.01755928,-12.10211423,2023,San Isidro,ROBO,121049.0,-8573555.481190361,-1357331.872750724,-1,0.0
-77.03323365,-12.09915708,2023,San Isidro,ROBO,122045.0,-8575300.344077267,-1356995.203842084,-1,0.0
-77.02453896,-12.09268462,2023,San Isidro,ROBO,126608.0,-8574332.45561386,-1356258.3330002744,3,1.0
-77.02879518,-12.09489142,2023,San Isidro,ROBO,95479.0,-8574806.255856967,-1356509.568790311,-1,0.0
-77.02453896,-12.09268462,2023,San Isidro,ROBO,87904.0,-8574332.45561386,-1356258.3330002744,3,1.0
-77.0256344,-12.0987619,2023,San Isidro,ROBO,73907.0,-8574454.399436856,-1356950.2132312236,-1,0.0
-77.04265011,-12.102767,2023,San Isidro,ROBO,68190.0,-8576348.579609541,-1357406.1905390923,-1,0.0
-77.03134574,-12.09727908,2023,San Isidro,ROBO,43144.0,-8575090.182897404,-1356781.3971392177,4,1.0
-77.03201307,-12.09703013,2023,San Isidro,ROBO,87902.0,-8575164.469733194,-1356753.0547713176,4,1.0
-77.03166448,-12.0933015,2023,San Isidro,ROBO,84808.0,-8575125.6648719,-1356328.5622341959,4,1.0
