name,address,place_type,lat,lon
Comisaría Barranco,"Av. San Martín 214, Lima 15063",Policía Federal,-12.146343,-77.0225961
CCO - Municipalidad de Barranco (Centro de Control de Operaciones),Lima 15063,Departamento de Seguridad Pública,-12.1392314,-77.0234289
CENTRO DE EMERGENCIA MUJER COMISARIA DE BARRANCO,"Av. San Martín 250, Barranco 15063",Oficina de la Administración,-12.1437874,-77.0230183
Serenazgo Barranco,"RXWJ+JFJ, Av. Manuel de la Fuente Chávez, Barranco 15063",Comisaría de policía,-12.1534086,-77.0188653
Unidad de Salvamento Acuático de la Policía Nacional del Perú,"VX5C+JRQ Circuito de Playas, Barranco 15063",Jefatura de policía,-12.1409229,-77.0278987
Paradero Plaza de Flores Alimentador de Metropolitano de Lima,"VX7J+PGG, Vía Expresa Luis Fernán Bedoya Reyes, Barranco 15063",Agencia de excursiones en autobús,-12.135684,-77.0186854
Paradero Armendariz,"VX8G+2XG, Subida Armendariz, Barranco 15063",Aparcamiento,-12.1349466,-77.0225356
Paradero Expertizia Barranco,"Av. Almte. Miguel Grau 260, Barranco 15063",Parada de taxis,-12.1498611,-77.0206157
Estacion Bulevar,"Av. Francisco Bolognesi, Lima 15063",Estación de autobuses,-12.1484065,-77.0201185
La 73,"Av. el Sol 175, Barranco 15063",Restaurante,-12.1396613,-77.0232156
Estadio Unión,"S/N, Av Panamericana Sur, Barranco",,-12.1528643,-77.0197142
Centenario,Barranco 15063,Bus stop,-12.1407941,-77.0223083
Estacion Balta,"Nicolas de Pierola con, Balta, Barranco",,-12.1418633,-77.0184276
Plaza De Armas De Barranco,Barranco 15063,Bus stop,-12.14931,-77.02085
"Estación ""Plaza de Flores"" - Metropolitano","Jr. Carlos Arrieta 499-395, Barranco 15063",Servicio de transporte,-12.1364139,-77.0186778
Chipoco,"Av. Almte. Miguel Grau, Barranco 15063",Estación de autobuses,-12.1380636,-77.0223376
Estación 28 De Julio,Lima 15074,Estación de autobuses,-12.1294115,-77.0228217
La Estación de Barranco,"Av. Pedro de Osma 112, Barranco 15063",Teatro,-12.1498702,-77.0218954
"Avenida República de Panamá, 6977",Barranco 15063,Bus stop,-12.13606,-77.01777
Estación Balta,Lima 15063,Estación de autobuses,-12.1411578,-77.0177423
Primera Parada,"Av. Pedro de Osma 203, Barranco 15063",,-12.1512676,-77.0220598
Spaces Oficinas Boutique,"Av. Almte. Miguel Grau 709, Barranco 15063",Espacio de coworking,-12.1440067,-77.0220976
ESPACIO UNNO - Barranco,"Bajada de Baños 342, Barranco 15063",Centro cultural,-12.1493747,-77.0228592
Negocios en barranco mercado la frontera,"Jr. Independencia 292, Barranco 15063",Mercado,-12.1553424,-77.0210571
UNØ,"Jiron Martinez de Pinillos 101, Barranco 15063",Tienda de ropa,-12.1446776,-77.0220144
Artesanías Las Pallas,"Cajamarca 212, Barranco 15063",Artesanía,-12.1448033,-77.0208867
Edificio Vibe Barranco Enacorp,"Av. el Sol Este 428, Barranco 15063",Urbanización,-12.1394032,-77.0197481
Grupo Santa Maria,"Av. Almte. Miguel Grau 713, Barranco 15063",Oficinas de empresa,-12.1439218,-77.0220225
Boulevard Barranco,,,-12.1488403,-77.0207773
Centro Comercial El Capullo,"Jiron Unión 147, Barranco 15063",Mercado,-12.1469871,-77.0209085
La Bodega Verde,"Jiron Mariscal Jose Antonio de Sucre 335A, Barranco 15063",Cafetería,-12.1481666,-77.0225394
Sofá Café Barranco.,"Av. San Martín N°480, Barranco 15063",Restaurante,-12.141372,-77.023171
